"protein","logFC","pvalue","adj.pvalue","contrast","organism","label","TlogFC"
"sp|Q02959|HOS3_YEAST","sp|Q02959|HOS3_YEAST","-1.85497647480908","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|Q99247|DUF1_YEAST","sp|Q99247|DUF1_YEAST","2.01625328109969","0","0","conditionB-conditionA","YEAST","1","-1"
"sp|P0A7J3|RL10_ECOLI","sp|P0A7J3|RL10_ECOLI","-2.06542335063991","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A9Q7|ADHE_ECOLI","sp|P0A9Q7|ADHE_ECOLI","-1.75976492858455","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P16659|SYP_ECOLI","sp|P16659|SYP_ECOLI","-1.81043588399753","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P77674|ABDH_ECOLI","sp|P77674|ABDH_ECOLI","-1.65295451909006","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A7L0|RL1_ECOLI","sp|P0A7L0|RL1_ECOLI","-1.80749845146315","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P63284|CLPB_ECOLI","sp|P63284|CLPB_ECOLI","-1.98760727364448","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0AC41|SDHA_ECOLI","sp|P0AC41|SDHA_ECOLI","-1.79236634992919","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0ADS6|YGGE_ECOLI","sp|P0ADS6|YGGE_ECOLI","-1.85982666762777","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P08200|IDH_ECOLI","sp|P08200|IDH_ECOLI","-1.87457114377755","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P68066|GRCA_ECOLI","sp|P68066|GRCA_ECOLI","-2.12980411393342","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P76402|YEGP_ECOLI","sp|P76402|YEGP_ECOLI","-1.71269690986853","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P68919|RL25_ECOLI","sp|P68919|RL25_ECOLI","-1.81887242936292","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0AEE5|MGLB_ECOLI","sp|P0AEE5|MGLB_ECOLI","-1.80081880988604","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0AE08|AHPC_ECOLI","sp|P0AE08|AHPC_ECOLI","-1.6780081991204","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P13029|KATG_ECOLI","sp|P13029|KATG_ECOLI","-1.85367728542304","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P00350|6PGD_ECOLI","sp|P00350|6PGD_ECOLI","-1.77827838628665","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P00579|RPOD_ECOLI","sp|P00579|RPOD_ECOLI","-1.69241719581134","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P76558|MAO2_ECOLI","sp|P76558|MAO2_ECOLI","-1.78356719639504","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A870|TALB_ECOLI","sp|P0A870|TALB_ECOLI","-1.73479004061211","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P61889|MDH_ECOLI","sp|P61889|MDH_ECOLI","-1.70370203771744","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A799|PGK_ECOLI","sp|P0A799|PGK_ECOLI","-1.81477212431173","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P08312|SYFA_ECOLI","sp|P08312|SYFA_ECOLI","-1.79509328081231","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A7V3|RS3_ECOLI","sp|P0A7V3|RS3_ECOLI","-1.76556241607247","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A6F3|GLPK_ECOLI","sp|P0A6F3|GLPK_ECOLI","-1.65575214206866","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A8V2|RPOB_ECOLI","sp|P0A8V2|RPOB_ECOLI","-1.65173423952145","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A9G6|ACEA_ECOLI","sp|P0A9G6|ACEA_ECOLI","-1.90007425868754","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A705|IF2_ECOLI","sp|P0A705|IF2_ECOLI","-1.78790283185101","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A763|NDK_ECOLI","sp|P0A763|NDK_ECOLI","-1.97758725083036","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0AD61|KPYK1_ECOLI","sp|P0AD61|KPYK1_ECOLI","-1.80861900541763","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A7Z4|RPOA_ECOLI","sp|P0A7Z4|RPOA_ECOLI","-1.75962388538486","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A707|IF3_ECOLI","sp|P0A707|IF3_ECOLI","-1.69918349032638","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P07913|TDH_ECOLI","sp|P07913|TDH_ECOLI","-1.77960131631795","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P56262|DLHH_ECOLI","sp|P56262|DLHH_ECOLI","-1.76817437859479","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P12758|UDP_ECOLI","sp|P12758|UDP_ECOLI","-1.80833191277537","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P33195|GCSP_ECOLI","sp|P33195|GCSP_ECOLI","-1.70845073955087","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|Q46851|GPR_ECOLI","sp|Q46851|GPR_ECOLI","-1.81188751805331","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P13024|FDHE_ECOLI","sp|P13024|FDHE_ECOLI","-1.75865405637027","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0AES4|GYRA_ECOLI","sp|P0AES4|GYRA_ECOLI","-1.72821132811572","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0DTT0|BIPA_ECOLI","sp|P0DTT0|BIPA_ECOLI","-2.12605125098755","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0CE47|EFTU1_ECOLI","sp|P0CE47|EFTU1_ECOLI","-1.72657903631208","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0AG67|RS1_ECOLI","sp|P0AG67|RS1_ECOLI","-1.77742304175041","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A6P9|ENO_ECOLI","sp|P0A6P9|ENO_ECOLI","-1.92005862674427","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P09373|PFLB_ECOLI","sp|P09373|PFLB_ECOLI","-1.636229789965","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0C0L2|OSMC_ECOLI","sp|P0C0L2|OSMC_ECOLI","-1.67113404676562","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P60422|RL2_ECOLI","sp|P60422|RL2_ECOLI","-1.94688733108377","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0C0V0|DEGP_ECOLI","sp|P0C0V0|DEGP_ECOLI","-1.90762387714604","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A7C6|PEPE_ECOLI","sp|P0A7C6|PEPE_ECOLI","-1.97768915181377","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A850|TIG_ECOLI","sp|P0A850|TIG_ECOLI","-1.84280993389358","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A9B2|G3P1_ECOLI","sp|P0A9B2|G3P1_ECOLI","-2.02801137220457","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A991|ALF1_ECOLI","sp|P0A991|ALF1_ECOLI","-1.61834626844594","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0AC38|ASPA_ECOLI","sp|P0AC38|ASPA_ECOLI","-1.88633295256878","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0AEX9|MALE_ECOLI","sp|P0AEX9|MALE_ECOLI","-1.76083145410793","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0AB77|KBL_ECOLI","sp|P0AB77|KBL_ECOLI","-1.79127310447803","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P25526|GABD_ECOLI","sp|P25526|GABD_ECOLI","-1.67790675432889","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A6M8|EFG_ECOLI","sp|P0A6M8|EFG_ECOLI","-1.63000714070518","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P23883|PUUC_ECOLI","sp|P23883|PUUC_ECOLI","-1.87655346054082","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P27302|TKT1_ECOLI","sp|P27302|TKT1_ECOLI","-1.86096031762217","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P23847|DPPA_ECOLI","sp|P23847|DPPA_ECOLI","-1.70369575439821","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P09394|GLPQ_ECOLI","sp|P09394|GLPQ_ECOLI","-1.62200213544331","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A6L2|DAPA_ECOLI","sp|P0A6L2|DAPA_ECOLI","-2.03482938061785","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A8N3|SYK1_ECOLI","sp|P0A8N3|SYK1_ECOLI","-1.78295893594496","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A6F5|CH60_ECOLI","sp|P0A6F5|CH60_ECOLI","-1.8094461901069","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0AE88|CPXR_ECOLI","sp|P0AE88|CPXR_ECOLI","-1.88832054949387","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0ABT2|DPS_ECOLI","sp|P0ABT2|DPS_ECOLI","-1.74187263177062","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0AG80|UGPB_ECOLI","sp|P0AG80|UGPB_ECOLI","-1.83472170070169","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A805|RRF_ECOLI","sp|P0A805|RRF_ECOLI","-2.20905971658808","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A9C5|GLN1B_ECOLI","sp|P0A9C5|GLN1B_ECOLI","-1.91200232140504","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P05020|PYRC_ECOLI","sp|P05020|PYRC_ECOLI","-1.88759468450541","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A6Y8|DNAK_ECOLI","sp|P0A6Y8|DNAK_ECOLI","-1.82351143206802","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P05055|PNP_ECOLI","sp|P05055|PNP_ECOLI","-1.82771044761881","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0ADG7|IMDH_ECOLI","sp|P0ADG7|IMDH_ECOLI","-1.66663870333026","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P22256|GABT_ECOLI","sp|P22256|GABT_ECOLI","-1.6521364394018","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0ACF4|DBHB_ECOLI","sp|P0ACF4|DBHB_ECOLI","-2.30107014409479","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P00452|RIR1_ECOLI","sp|P00452|RIR1_ECOLI","-1.58255399895988","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A9Q9|DHAS_ECOLI","sp|P0A9Q9|DHAS_ECOLI","-1.91680482726232","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P77581|ASTC_ECOLI","sp|P77581|ASTC_ECOLI","-1.82460779498379","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P62399|RL5_ECOLI","sp|P62399|RL5_ECOLI","-1.80680358463777","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0AG55|RL6_ECOLI","sp|P0AG55|RL6_ECOLI","-2.11867835785019","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0ABP8|DEOD_ECOLI","sp|P0ABP8|DEOD_ECOLI","-1.82613623501736","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0AB71|ALF_ECOLI","sp|P0AB71|ALF_ECOLI","-1.82136519315132","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0A6K6|DEOB_ECOLI","sp|P0A6K6|DEOB_ECOLI","-2.1694770863309","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P0AF90|RRAB_ECOLI","sp|P0AF90|RRAB_ECOLI","-1.91864357087293","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P30958|MFD_ECOLI","sp|P30958|MFD_ECOLI","-1.93749193542311","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P00509|AAT_ECOLI","sp|P00509|AAT_ECOLI","-1.79317455908174","0","0","conditionB-conditionA","ECOLI","1","2"
"sp|P25553|ALDA_ECOLI","sp|P25553|ALDA_ECOLI","-1.69910717321766","0","0","conditionB-conditionA","ECOLI","1","2"
