"logFC","AveExpr","t","pvalue","adj.pvalue","B","contrast","protein","organism","label","TlogFC"
"sp|P14540|ALF_YEAST1",0.587947312627772,20.2665842726613,15.5212349952104,9.07788797874172e-06,0.00133489848588794,4.50556149626972,"conditionD-conditionB","sp|P14540|ALF_YEAST","YEAST","1","0.584962500721156"
"sp|P34167|IF4B_YEAST1",0.570465917834579,16.1354055684815,15.4221015869202,9.3985379079964e-06,0.00133489848588794,4.47021326480162,"conditionD-conditionB","sp|P34167|IF4B_YEAST","YEAST","1","0.584962500721156"
"sp|P47176|BCA2_YEAST1",0.521982627466532,17.1206624877754,15.2786726259826,9.88638490060264e-06,0.00133489848588794,4.41857814406723,"conditionD-conditionB","sp|P47176|BCA2_YEAST","YEAST","1","0.584962500721156"
"sp|P07259|PYR1_YEAST1",0.557716927590889,18.2041220876184,15.2730140937755,9.90623467127532e-06,0.00133489848588794,4.41652899297549,"conditionD-conditionB","sp|P07259|PYR1_YEAST","YEAST","1","0.584962500721156"
"sp|P26785|RL16B_YEAST1",0.638844187346418,16.0233565865701,15.2410430487873,1.00192725619948e-05,0.00133489848588794,4.40493385971745,"conditionD-conditionB","sp|P26785|RL16B_YEAST","YEAST","1","0.584962500721156"
"sp|P0C2H9|RL31B_YEAST1",0.535067815740646,17.3972033848215,15.2310184860617,1.00550279779911e-05,0.00133489848588794,4.4012921231326,"conditionD-conditionB","sp|P0C2H9|RL31B_YEAST","YEAST","1","0.584962500721156"
"sp|P00817|IPYR_YEAST1",0.592520507649979,18.4157129906397,15.1143855190579,1.04822721703858e-05,0.00133489848588794,4.35870732396083,"conditionD-conditionB","sp|P00817|IPYR_YEAST","YEAST","1","0.584962500721156"
"sp|Q7L3B6|CD37L_HUMAN2",1.15978034943195,9.80452456176696,15.1265923751126,1.04931929427636e-05,0.0229940834685761,3.33362164687176,"conditionD-conditionC","sp|Q7L3B6|CD37L_HUMAN","HUMAN","0","0"
"sp|P28834|IDH1_YEAST1",0.585150366745392,16.782422750598,15.0831920296431,1.06001375900284e-05,0.00133489848588794,4.34725073962876,"conditionD-conditionB","sp|P28834|IDH1_YEAST","YEAST","1","0.584962500721156"
"sp|P26321|RL5_YEAST1",0.560677025569966,17.9238717030606,15.0489604190924,1.07312825675175e-05,0.00133489848588794,4.33464542151375,"conditionD-conditionB","sp|P26321|RL5_YEAST","YEAST","1","0.584962500721156"
"sp|P40185|MMF1_YEAST1",0.550057531606132,17.0319432417201,14.9993943032657,1.09245766504698e-05,0.00133489848588794,4.31633207818771,"conditionD-conditionB","sp|P40185|MMF1_YEAST","YEAST","1","0.584962500721156"
"sp|P0CX31|RS24A_YEAST;sp|P0CX32|RS24B_YEAST1",0.567088917829285,18.2829669558137,14.9623005711982,1.10719162219407e-05,0.00133489848588794,4.30257927377453,"conditionD-conditionB","sp|P0CX31|RS24A_YEAST;sp|P0CX32|RS24B_YEAST","YEAST","1","0.584962500721156"
"sp|P06168|ILV5_YEAST1",0.559757997272182,17.9998561608898,14.9549084775515,1.11015571012415e-05,0.00133489848588794,4.29983370000221,"conditionD-conditionB","sp|P06168|ILV5_YEAST","YEAST","1","0.584962500721156"
"sp|P16140|VATB_YEAST1",0.534265263155561,18.521992596294,14.8679852522672,1.1457205022956e-05,0.00133489848588794,4.26742599223505,"conditionD-conditionB","sp|P16140|VATB_YEAST","YEAST","1","0.584962500721156"
"sp|P23254|TKT1_YEAST1",0.581760801086478,17.9645702939135,14.8199548968995,1.16594702195128e-05,0.00133489848588794,4.24942124563807,"conditionD-conditionB","sp|P23254|TKT1_YEAST","YEAST","1","0.584962500721156"
"sp|Q00764|TPS1_YEAST1",0.728457485906453,15.7844687574702,14.7311529100984,1.20446118496013e-05,0.00133489848588794,4.21594833412338,"conditionD-conditionB","sp|Q00764|TPS1_YEAST","YEAST","1","0.584962500721156"
"sp|P15108|HSC82_YEAST1",0.557729780050863,20.1385895139922,14.6486570164578,1.24158847485388e-05,0.00133489848588794,4.18463606431892,"conditionD-conditionB","sp|P15108|HSC82_YEAST","YEAST","1","0.584962500721156"
