"logFC","AveExpr","t","pvalue","adj.pvalue","B","contrast","protein","organism","label","TlogFC"
"sp|P10664|RL4A_YEAST1",0.508095439414777,10.0555056564983,14.1752106635743,7.62042494758427e-06,0.00110725807842982,4.59971205933864,"conditionD-conditionB","sp|P10664|RL4A_YEAST","YEAST","1","0.584962500721156"
"sp|P22803|TRX2_YEAST1",0.526462338733101,13.2497236646288,14.1715015832003,7.6321100461243e-06,0.00110725807842982,4.5982579132022,"conditionD-conditionB","sp|P22803|TRX2_YEAST","YEAST","1","0.584962500721156"
"sp|P40150|SSB2_YEAST1",0.511238336273635,11.669152547786,14.1064326433874,7.84052943318809e-06,0.00110725807842982,4.57266705111257,"conditionD-conditionB","sp|P40150|SSB2_YEAST","YEAST","1","0.584962500721156"
"sp|P38088|SYG_YEAST1",0.46242322214886,9.21305903663527,14.0763366999028,7.93916094297491e-06,0.00110725807842982,4.56077889390801,"conditionD-conditionB","sp|P38088|SYG_YEAST","YEAST","1","0.584962500721156"
"sp|P53184|PNC1_YEAST1",0.566668453097941,8.8035651527259,14.0698572115148,7.96058394846535e-06,0.00110725807842982,4.55821513822956,"conditionD-conditionB","sp|P53184|PNC1_YEAST","YEAST","1","0.584962500721156"
"sp|P14540|ALF_YEAST1",0.502113321386767,12.1859758898207,14.0470987223171,8.0363640747152e-06,0.00110725807842982,4.54919812029261,"conditionD-conditionB","sp|P14540|ALF_YEAST","YEAST","1","0.584962500721156"
"sp|P0CS90|HSP77_YEAST1",0.480724375597495,10.2001089701388,13.9238906548416,8.46146656887072e-06,0.00110725807842982,4.50005316914653,"conditionD-conditionB","sp|P0CS90|HSP77_YEAST","YEAST","1","0.584962500721156"
"sp|P16140|VATB_YEAST1",0.509336347012871,9.89041975511767,13.9225344963605,8.46628902451345e-06,0.00110725807842982,4.49950911505288,"conditionD-conditionB","sp|P16140|VATB_YEAST","YEAST","1","0.584962500721156"
"sp|P23248|RS3A2_YEAST1",0.474724478753867,10.3604720289458,13.9135938769978,8.4981616266991e-06,0.00110725807842982,4.49592067464457,"conditionD-conditionB","sp|P23248|RS3A2_YEAST","YEAST","1","0.584962500721156"
"sp|P00549|KPYK1_YEAST1",0.503952414840001,11.6511967140179,13.8831771655663,8.60764363994844e-06,0.00110725807842982,4.4836902899812,"conditionD-conditionB","sp|P00549|KPYK1_YEAST","YEAST","1","0.584962500721156"
"sp|Q03219|YM44_YEAST1",0.68827541592333,7.73629140280598,13.8614916386803,8.68669979567067e-06,0.00110725807842982,4.47494963927641,"conditionD-conditionB","sp|Q03219|YM44_YEAST","YEAST","1","0.584962500721156"
"sp|P20081|FKBP_YEAST1",0.491726186638532,10.2572418618729,13.8269547416455,8.81435511442342e-06,0.00110725807842982,4.46099280177547,"conditionD-conditionB","sp|P20081|FKBP_YEAST","YEAST","1","0.584962500721156"
