"logFC","AveExpr","t","pvalue","adj.pvalue","B","contrast","protein","organism","label","TlogFC"
"sp|P32589|HSP7F_YEAST1",0.485303098232,9.58049385449855,14.7201675705242,8.12276741409186e-06,0.00124644549414525,4.56840736938603,"conditionD-conditionB","sp|P32589|HSP7F_YEAST","YEAST","1","0.584962500721156"
"sp|P41921|GSHR_YEAST1",0.631883899645409,8.50011362844518,14.6615739838009,8.30862236952213e-06,0.00124644549414525,4.54680970056674,"conditionD-conditionB","sp|P41921|GSHR_YEAST","YEAST","1","0.584962500721156"
"sp|P38088|SYG_YEAST1",0.46242322214886,9.21305903663527,14.6305464329574,8.40904973388975e-06,0.00124644549414525,4.53532731711842,"conditionD-conditionB","sp|P38088|SYG_YEAST","YEAST","1","0.584962500721156"
"sp|P10664|RL4A_YEAST1",0.508095439414777,10.0555056564983,14.596065306775,8.52232336649482e-06,0.00124644549414525,4.52252964806547,"conditionD-conditionB","sp|P10664|RL4A_YEAST","YEAST","1","0.584962500721156"
"sp|P22803|TRX2_YEAST1",0.526462338733101,13.2497236646288,14.5434549131041,8.69860664691241e-06,0.00124644549414525,4.50292744266813,"conditionD-conditionB","sp|P22803|TRX2_YEAST","YEAST","1","0.584962500721156"
"sp|P40150|SSB2_YEAST1",0.511238336273635,11.669152547786,14.5098445864474,8.81345608102319e-06,0.00124644549414525,4.49035629423831,"conditionD-conditionB","sp|P40150|SSB2_YEAST","YEAST","1","0.584962500721156"
"sp|P14540|ALF_YEAST1",0.502113321386767,12.1859758898207,14.4680546632627,8.95873542900768e-06,0.00124644549414525,4.47467306372555,"conditionD-conditionB","sp|P14540|ALF_YEAST","YEAST","1","0.584962500721156"
"sp|P23248|RS3A2_YEAST1",0.474724478753867,10.3604720289458,14.3994991854752,9.20316727268239e-06,0.00124644549414525,4.44881780001252,"conditionD-conditionB","sp|P23248|RS3A2_YEAST","YEAST","1","0.584962500721156"
"sp|P0CS90|HSP77_YEAST1",0.480724375597495,10.2001089701388,14.3919225891143,9.23065644618771e-06,0.00124644549414525,4.44595058438285,"conditionD-conditionB","sp|P0CS90|HSP77_YEAST","YEAST","1","0.584962500721156"
"sp|P53184|PNC1_YEAST1",0.566668453097941,8.8035651527259,14.3431430398385,9.40995126388303e-06,0.00124644549414525,4.42744420584697,"conditionD-conditionB","sp|P53184|PNC1_YEAST","YEAST","1","0.584962500721156"
"sp|P00330|ADH1_YEAST1",0.466909148075366,13.1983666107069,14.3189985664094,9.5002004641044e-06,0.00124644549414525,4.41825406748356,"conditionD-conditionB","sp|P00330|ADH1_YEAST","YEAST","1","0.584962500721156"
"sp|P16140|VATB_YEAST1",0.509336347012871,9.89041975511767,14.3080399019011,9.54149600460544e-06,0.00124644549414525,4.41407627858666,"conditionD-conditionB","sp|P16140|VATB_YEAST","YEAST","1","0.584962500721156"
"sp|P00549|KPYK1_YEAST1",0.503952414840001,11.6511967140179,14.2780388209076,9.65562620687904e-06,0.00124644549414525,4.40261784394743,"conditionD-conditionB","sp|P00549|KPYK1_YEAST","YEAST","1","0.584962500721156"
"sp|P20081|FKBP_YEAST1",0.491726186638532,10.2572418618729,14.2484794391066,9.76963862503956e-06,0.00124644549414525,4.39129782665307,"conditionD-conditionB","sp|P20081|FKBP_YEAST","YEAST","1","0.584962500721156"
"sp|P47117|ARP3_YEAST1",0.473242412909871,8.4796994194215,14.103120102704,1.03537028215337e-05,0.00124644549414525,4.33519017612996,"conditionD-conditionB","sp|P47117|ARP3_YEAST","YEAST","1","0.584962500721156"
"sp|P38011|GBLP_YEAST1",0.507684468303333,10.7072072068736,14.0508674122536,1.05735545509151e-05,0.00124644549414525,4.314840210012,"conditionD-conditionB","sp|P38011|GBLP_YEAST","YEAST","1","0.584962500721156"
"sp|Q03219|YM44_YEAST1",0.68827541592333,7.73629140280598,13.9515512518185,1.10066370453101e-05,0.00124644549414525,4.27589438251653,"conditionD-conditionB","sp|Q03219|YM44_YEAST","YEAST","1","0.584962500721156"
"sp|P04456|RL25_YEAST1",0.522286860058868,10.5414524914044,13.9495007979424,1.10157942569376e-05,0.00124644549414525,4.27508660956003,"conditionD-conditionB","sp|P04456|RL25_YEAST","YEAST","1","0.584962500721156"
"sp|P0CX49|RL18A_YEAST1",0.507472990411303,11.3923320212883,13.9371171244956,1.10712885561855e-05,0.00124644549414525,4.27020487741855,"conditionD-conditionB","sp|P0CX49|RL18A_YEAST","YEAST","1","0.584962500721156"
"sp|P18239|ADT2_YEAST1",0.4594650092706,10.059580562366,13.9151193003516,1.11706733941026e-05,0.00124644549414525,4.26151960035071,"conditionD-conditionB","sp|P18239|ADT2_YEAST","YEAST","1","0.584962500721156"
"sp|P07149|FAS1_YEAST1",0.448989293971477,8.84416035323087,13.9030094117968,1.12258296596332e-05,0.00124644549414525,4.25673089137468,"conditionD-conditionB","sp|P07149|FAS1_YEAST","YEAST","1","0.584962500721156"
"sp|P0CX43|RL1A_YEAST;sp|P0CX44|RL1B_YEAST1",0.467720235489399,10.476919907496,13.8990164174228,1.12440860163529e-05,0.00124644549414525,4.25515075157548,"conditionD-conditionB","sp|P0CX43|RL1A_YEAST;sp|P0CX44|RL1B_YEAST","YEAST","1","0.584962500721156"
"sp|P0CX23|RL20A_YEAST;sp|P0CX24|RL20B_YEAST1",0.472267825441367,11.0066176421103,13.895562299132,1.12599065533087e-05,0.00124644549414525,4.25378339631487,"conditionD-conditionB","sp|P0CX23|RL20A_YEAST;sp|P0CX24|RL20B_YEAST","YEAST","1","0.584962500721156"
"sp|P32366|VA0D_YEAST1",0.491572778640409,8.63575764421793,13.8713635145475,1.13714736181836e-05,0.00124644549414525,4.24419192722991,"conditionD-conditionB","sp|P32366|VA0D_YEAST","YEAST","1","0.584962500721156"
"sp|P00817|IPYR_YEAST1",0.560606724969,10.3692586160814,13.7870081331544,1.17706111370285e-05,0.00124644549414525,4.21059057535372,"conditionD-conditionB","sp|P00817|IPYR_YEAST","YEAST","1","0.584962500721156"
"sp|P00360|G3P1_YEAST1",0.489724737190068,12.0370137155219,13.7509993010641,1.1945958399727e-05,0.00124644549414525,4.19616804121667,"conditionD-conditionB","sp|P00360|G3P1_YEAST","YEAST","1","0.584962500721156"
"sp|Q9UKD1|GMEB2_HUMAN",-0.975441759068961,7.00471866679122,-13.5566515655858,1.21951717982064e-05,0.0259188051284546,3.9263945196609,"conditionC-conditionB","sp|Q9UKD1|GMEB2_HUMAN","HUMAN","0","0"
"sp|P07267|CARP_YEAST1",0.533129617469022,10.1203175561628,13.6962798936524,1.22182921776147e-05,0.00124644549414525,4.1741601213435,"conditionD-conditionB","sp|P07267|CARP_YEAST","YEAST","1","0.584962500721156"
"sp|P00958|SYMC_YEAST1",0.444044133469196,8.41282901327028,13.6859430140898,1.22705484693867e-05,0.00124644549414525,4.16999025347347,"conditionD-conditionB","sp|P00958|SYMC_YEAST","YEAST","1","0.584962500721156"
"sp|P05740|RL17A_YEAST1",0.548525289342601,10.4390720892887,13.6494285960227,1.24572414537287e-05,0.00124644549414525,4.1552287151892,"conditionD-conditionB","sp|P05740|RL17A_YEAST","YEAST","1","0.584962500721156"
"sp|P00560|PGK_YEAST1",0.459657342323132,12.6537186390969,13.6443982017044,1.24832202229287e-05,0.00124644549414525,4.15319121354378,"conditionD-conditionB","sp|P00560|PGK_YEAST","YEAST","1","0.584962500721156"
"sp|P32368|SAC1_YEAST1",0.514315469624612,7.75833838956408,13.6350239806387,1.2531801054585e-05,0.00124644549414525,4.14939178121507,"conditionD-conditionB","sp|P32368|SAC1_YEAST","YEAST","1","0.584962500721156"
"sp|P00830|ATPB_YEAST1",0.54938432551733,9.43570395986614,13.6057244578406,1.26850719305951e-05,0.00124644549414525,4.13749535071207,"conditionD-conditionB","sp|P00830|ATPB_YEAST","YEAST","1","0.584962500721156"
"sp|P10591|HSP71_YEAST1",0.528831603422603,11.4471363549663,13.5981647449256,1.27249726205841e-05,0.00124644549414525,4.13442068468911,"conditionD-conditionB","sp|P10591|HSP71_YEAST","YEAST","1","0.584962500721156"
"sp|P26321|RL5_YEAST1",0.526872510785353,10.2273691036272,13.5867383155739,1.27855605981482e-05,0.00124644549414525,4.12976929359765,"conditionD-conditionB","sp|P26321|RL5_YEAST","YEAST","1","0.584962500721156"
"sp|P06169|PDC1_YEAST1",0.456577783255204,12.0753041711879,13.5733583595324,1.28569356636821e-05,0.00124644549414525,4.12431644737831,"conditionD-conditionB","sp|P06169|PDC1_YEAST","YEAST","1","0.584962500721156"
"sp|P00942|TPIS_YEAST1",0.463487729314735,13.1100033989653,13.5296733464307,1.30932327940315e-05,0.00124644549414525,4.10646621874483,"conditionD-conditionB","sp|P00942|TPIS_YEAST","YEAST","1","0.584962500721156"
"sp|Q3E754|RS21B_YEAST1",0.453665258681703,11.1898362522614,13.5255885203163,1.31155861955997e-05,0.00124644549414525,4.10479342775617,"conditionD-conditionB","sp|Q3E754|RS21B_YEAST","YEAST","1","0.584962500721156"
"sp|P05750|RS3_YEAST1",0.506882524643901,11.8933012417949,13.478225056816,1.33780541654354e-05,0.00124644549414525,4.08535129702093,"conditionD-conditionB","sp|P05750|RS3_YEAST","YEAST","1","0.584962500721156"
"sp|P46654|RSSA2_YEAST1",0.559808273733426,9.73621965967104,13.4588541853129,1.34871627711078e-05,0.00124644549414525,4.07737522662024,"conditionD-conditionB","sp|P46654|RSSA2_YEAST","YEAST","1","0.584962500721156"
"sp|P07560|SEC4_YEAST1",0.519377813352008,7.98664291226016,13.4450791315139,1.35653845985709e-05,0.00124644549414525,4.071694562057,"conditionD-conditionB","sp|P07560|SEC4_YEAST","YEAST","1","0.584962500721156"
"sp|P0CX41|RL23A_YEAST1",0.428417577909473,10.7819839560597,13.4186125417605,1.37171669093538e-05,0.00124644549414525,4.06075970464884,"conditionD-conditionB","sp|P0CX41|RL23A_YEAST","YEAST","1","0.584962500721156"
"sp|P04840|VDAC1_YEAST1",0.528339189717469,10.3343159344363,13.4136232178221,1.37460016433521e-05,0.00124644549414525,4.05869532472913,"conditionD-conditionB","sp|P04840|VDAC1_YEAST","YEAST","1","0.584962500721156"
"sp|P41940|MPG1_YEAST1",0.459457816784933,10.3777506173723,13.2966788583609,1.44425641394761e-05,0.00124644549414525,4.01003365131582,"conditionD-conditionB","sp|P41940|MPG1_YEAST","YEAST","1","0.584962500721156"
"sp|P22217|TRX1_YEAST1",0.494319458899165,11.6542661133733,13.2360085674934,1.48201350440914e-05,0.00124644549414525,3.98457881835777,"conditionD-conditionB","sp|P22217|TRX1_YEAST","YEAST","1","0.584962500721156"
"sp|P17255|VATA_YEAST1",0.448184921038422,9.45489360732263,13.2096872169666,1.49875174437937e-05,0.00124644549414525,3.9734905542071,"conditionD-conditionB","sp|P17255|VATA_YEAST","YEAST","1","0.584962500721156"
"sp|P09457|ATPO_YEAST1",0.551088838798318,7.70213599439442,13.1170236956595,1.5594599761762e-05,0.00124644549414525,3.93423687493555,"conditionD-conditionB","sp|P09457|ATPO_YEAST","YEAST","1","0.584962500721156"
"sp|P05759|RS31_YEAST1",0.598039302965201,11.678577416238,13.1039229071654,1.56827253344505e-05,0.00124644549414525,3.92865965489931,"conditionD-conditionB","sp|P05759|RS31_YEAST","YEAST","1","0.584962500721156"
"sp|P40089|LSM5_YEAST1",0.635092164634988,8.19042989537235,13.0979344055324,1.5723201922262e-05,0.00124644549414525,3.92610796965113,"conditionD-conditionB","sp|P40089|LSM5_YEAST","YEAST","1","0.584962500721156"
"sp|P00924|ENO1_YEAST1",0.496283329156087,9.92333377519222,13.063039916101,1.5961495477846e-05,0.00124644549414525,3.91121097032581,"conditionD-conditionB","sp|P00924|ENO1_YEAST","YEAST","1","0.584962500721156"
