"pauc001feature","pauc001sr","pauc001rank","pauc005feature","pauc005sr","pauc005rank","pauc01feature","pauc01sr","pauc01rank","nMCCfeature","nMCCsr","nMCCrank","G-meanfeature","G-meansr","G-meanrank","avg_rank"
"1","blank",1,1,"blank",1,1,"blank",1,1,"blank",1,1,"blank",1,1,1
"2","max",0.923076923076923,2,"max",0.923076923076923,2,"max",0.923076923076923,2,"max",0.230769230769231,11,"max",0.153846153846154,12,5.8
"3","sum",0.846153846153846,3,"sum",0.846153846153846,3,"sum",0.846153846153846,3,"sum",0,14,"sum",0,14,7.4
"4","lossf",0.769230769230769,4,"lossf",0.461538461538462,8,"lossf",0.384615384615385,9,"lossf",0.615384615384615,6,"lossf",0.692307692307692,5,6.4
"5","Rlr",0.692307692307692,5,"Rlr",0.384615384615385,9,"Rlr",0.307692307692308,10,"Rlr",0.692307692307692,5,"Rlr",0.615384615384615,6,7
"6","vsn",0.615384615384615,6,"vsn",0.230769230769231,11,"vsn",0.230769230769231,11,"vsn",0.307692307692308,10,"vsn",0.307692307692308,10,9.6
"7","div.mean",0.538461538461538,7,"div.mean",0.615384615384615,6,"div.mean",0.692307692307692,5,"div.mean",0.0769230769230769,13,"div.mean",0.0769230769230769,13,8.8
"8","center.mean",0.461538461538462,8,"center.mean",0.692307692307692,5,"center.mean",0.615384615384615,6,"center.mean",0.846153846153846,3,"center.mean",0.846153846153846,3,5
"9","div.median",0.384615384615385,9,"div.median",0.307692307692308,10,"div.median",0.461538461538462,8,"div.median",0.153846153846154,12,"div.median",0.230769230769231,11,10
"10","center.median",0.307692307692308,10,"center.median",0.538461538461538,7,"center.median",0.538461538461538,7,"center.median",0.769230769230769,4,"center.median",0.769230769230769,4,6.4
"11","quantiles",0.230769230769231,11,"quantiles",0.769230769230769,4,"quantiles",0.769230769230769,4,"quantiles",0.923076923076923,2,"quantiles",0.923076923076923,2,4.6
"12","TIC",0.153846153846154,12,"TIC",0.0769230769230769,13,"TIC",0,14,"TIC",0.538461538461538,7,"TIC",0.538461538461538,7,10.6
"13","quantiles.robust",0.0769230769230769,13,"quantiles.robust",0,14,"quantiles.robust",0.0769230769230769,13,"quantiles.robust",0.461538461538462,8,"quantiles.robust",0.384615384615385,9,11.4
"14","MBQN",0,14,"MBQN",0.153846153846154,12,"MBQN",0.153846153846154,12,"MBQN",0.384615384615385,9,"MBQN",0.461538461538462,8,11
