"protein","contrast","chisq","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"37","sp|P0AG67|RS1_ECOLI","conditionB-conditionA",70.1830876978014,3.88578058618805e-15,0.877670611398962,3.26098797088255e-13,"ECOLI","1","1"
"38","sp|P02413|RL15_ECOLI","conditionB-conditionA",70.1975004079313,3.88578058618805e-15,0.887464896830302,3.26098797088255e-13,"ECOLI","1","1"
"39","sp|P0A825|GLYA_ECOLI","conditionB-conditionA",70.0512517275658,4.10782519111308e-15,-0.694530116693301,3.35893706011785e-13,"ECOLI","1","1"
"40","sp|P06971|FHUA_ECOLI","conditionB-conditionA",69.8348258003102,4.66293670342566e-15,1.20546114235299,3.71752628680611e-13,"ECOLI","1","1"
"41","sp|P0AEK4|FABI_ECOLI","conditionB-conditionA",69.7313018303575,4.88498130835069e-15,-0.82295249463731,3.79956229081228e-13,"ECOLI","1","1"
"42","sp|P0ABB0|ATPA_ECOLI","conditionB-conditionA",69.6484264228384,5.10702591327572e-15,-0.98401198759786,3.86985017674168e-13,"ECOLI","1","1"
"43","sp|P0AG55|RL6_ECOLI","conditionB-conditionA",69.6046422208111,5.21804821573824e-15,0.719634387619411,3.86985017674168e-13,"ECOLI","1","1"
"44","sp|P36683|ACNB_ECOLI","conditionB-conditionA",69.1811155170287,6.43929354282591e-15,-0.709343955330013,4.6670243427436e-13,"ECOLI","1","1"
"45","sp|P0A717|KPRS_ECOLI","conditionB-conditionA",68.386798790173,9.43689570931383e-15,-1.09702343192697,6.6876134260004e-13,"ECOLI","1","1"
"46","sp|P05791|ILVD_ECOLI","conditionB-conditionA",67.9534142094682,1.16573417585641e-14,-0.898488376296712,8.0815788843611e-13,"ECOLI","1","1"
"47","sp|P0A6Y8|DNAK_ECOLI","conditionB-conditionA",67.5106385024252,1.45439216225896e-14,0.763971137162621,9.86820554349746e-13,"ECOLI","1","1"
"48","sp|P02925|RBSB_ECOLI","conditionB-conditionA",67.0174224166209,1.85407245112401e-14,-0.866104249186343,1.23179938471552e-12,"ECOLI","1","1"
"49","sp|P0A903|BAMC_ECOLI","conditionB-conditionA",66.635811823932,2.24265050974282e-14,1.17405948230352,1.45955356644282e-12,"ECOLI","1","1"
"50","sp|P0A953|FABB_ECOLI","conditionB-conditionA",65.964342345232,3.11972669919669e-14,-0.823599025662386,1.98976168874765e-12,"ECOLI","1","1"
"51","sp|P0AFG0|NUSG_ECOLI","conditionB-conditionA",65.9117577381387,3.19744231092045e-14,-1.09029254581144,1.99934186853438e-12,"ECOLI","1","1"
