"protein","contrast","chisq","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"38","sp|P24031|PPA3_YEAST","conditionC-conditionB",22.4153504211355,5.3456439466304e-05,0.658224649782991,0.0041864832592558,"YEAST","1","0.321928094887362"
"39","sp|P32481|IF2G_YEAST","conditionC-conditionB",22.2276011641281,5.84908393790329e-05,-1.02218901538806,0.00446330097415389,"YEAST","1","0.321928094887362"
"40","sp|Q03048|COFI_YEAST","conditionC-conditionB",22.0807177917891,6.27564805715242e-05,0.351510104698921,0.00460483458414662,"YEAST","1","0.321928094887362"
"41","sp|P47143|ADK_YEAST","conditionC-conditionB",21.9963805395535,6.53443362840234e-05,-0.351446899719317,0.00460483458414662,"YEAST","1","0.321928094887362"
"42","sp|Q00055|GPD1_YEAST","conditionC-conditionB",21.9873835076948,6.56266060414801e-05,-0.451253889408093,0.00460483458414662,"YEAST","1","0.321928094887362"
"43","sp|P05319|RLA2_YEAST","conditionC-conditionB",21.9586917994871,6.65349083058819e-05,-0.53257145604486,0.00460483458414662,"YEAST","1","0.321928094887362"
"44","sp|P31116|DHOM_YEAST","conditionC-conditionB",21.6795923342697,7.60506076392664e-05,0.373780068887321,0.00507482373050139,"YEAST","1","0.321928094887362"
"45","sp|P05750|RS3_YEAST","conditionC-conditionB",21.6103416804689,7.86144256000876e-05,-0.436211402422124,0.00507482373050139,"YEAST","1","0.321928094887362"
"46","sp|P46672|ARC1_YEAST","conditionC-conditionB",21.5461751724181,8.10667857166214e-05,-1.99017634356556,0.00507482373050139,"YEAST","1","0.321928094887362"
"47","sp|P32589|HSP7F_YEAST;sp|P32590|HSP79_YEAST","conditionC-conditionB",18.8347697546666,8.12983467063377e-05,-0.883153903803599,0.00507482373050139,"YEAST","1","0.321928094887362"
"48","sp|P15705|STI1_YEAST","conditionC-conditionB",21.5260380875708,8.18519956532482e-05,-0.521892774596832,0.00507482373050139,"YEAST","1","0.321928094887362"
"49","sp|Q04344|HNT1_YEAST","conditionC-conditionB",21.1028632999985,0.000100222658774851,-0.32275347912849,0.00598240347289661,"YEAST","1","0.321928094887362"
"50","sp|Q08971|YP225_YEAST","conditionC-conditionB",21.0968605699005,0.000100510811036569,0.521434375243686,0.00598240347289661,"YEAST","1","0.321928094887362"
"51","sp|P39015|STM1_YEAST","conditionC-conditionB",20.7931169078354,0.000116221214634393,-0.426907696626795,0.00678184970101871,"YEAST","1","0.321928094887362"
"52","sp|P43616|DUG1_YEAST","conditionC-conditionB",20.7231431101137,0.000120173869829543,-0.956135099894301,0.00687764301178307,"YEAST","1","0.321928094887362"
"53","sp|Q05506|SYRC_YEAST","conditionC-conditionB",20.6334588219274,0.000125436230823839,0.610404422058878,0.00704336269682536,"YEAST","1","0.321928094887362"
"54","sp|P22203|VATE_YEAST","conditionC-conditionB",20.5927296422745,0.00012790123433204,0.310864164643242,0.00704877913652129,"YEAST","1","0.321928094887362"
"55","sp|P22515|UBA1_YEAST","conditionC-conditionB",20.3024169226719,0.000146925412890075,-1.49163177867324,0.00795000052292481,"YEAST","1","0.321928094887362"
"56","sp|P36008|EF1G2_YEAST","conditionC-conditionB",20.2256563311027,0.000152410148221538,-0.34872491801649,0.00809951073405887,"YEAST","1","0.321928094887362"
