0.14647137150466044,frozenset({'sum'})
0.1218375499334221,frozenset({'No_MVI'})
0.3848202396804261,frozenset({'pro_inten'})
0.12716378162450068,frozenset({'SAM'})
0.18442077230359522,frozenset({'sc'})
0.340878828229028,frozenset({'pro_LFQ'})
0.10918774966711052,frozenset({'ttest'})
0.10985352862849534,frozenset({'max'})
0.1151797603195739,frozenset({'div.median'})
0.10319573901464714,frozenset({'knn'})
0.118508655126498,frozenset({'div.mean'})
0.15712383488681758,frozenset({'ANOVA'})
0.19973368841544606,frozenset({'quantiles.robust'})
