DEA,expression_type,MVI,Normalization,label
ROTS,pro_LFQ,mice,center.median,1.0
proDA,pro_LFQ,MLE,center.median,1.0
limma,norm,MLE,center.mean,1.0
limma,norm,mice,No_norm,1.0
limma,norm,MinDet,quantiles,1.0
DEP,pro_LFQ,MinProb,No_norm,1.0
proDA,norm,bpca,No_norm,1.0
limma,norm,nbavg,center.mean,1.0
limma,norm,bpca,quantiles,1.0
limma,norm,MLE,center.median,1.0
DEP,pro_LFQ,MLE,No_norm,1.0
limma,pro_LFQ,knn,No_norm,1.0
limma,norm,nbavg,quantiles,1.0
ROTS,pro_LFQ,mice,center.mean,1.0
limma,norm,nbavg,center.median,1.0
limma,norm,MLE,quantiles,1.0
proDA,norm,MLE,No_norm,1.0
DEP,pro_LFQ,min,No_norm,1.0
ROTS,norm,zero,quantiles,1.0
limma,norm,QRILC,center.mean,1.0
ROTS,norm,zero,center.median,1.0
ROTS,norm,zero,center.mean,1.0
limma,norm,QRILC,center.median,1.0
limma,norm,QRILC,quantiles,1.0
proDA,norm,QRILC,No_norm,1.0
ROTS,pro_LFQ,zero,quantiles,1.0
DEP,pro_LFQ,MinDet,No_norm,1.0
limma,norm,min,quantiles,1.0
proDA,pro_LFQ,missForest,center.mean,1.0
proDA,pro_LFQ,missForest,center.median,1.0
limma,norm,zero,No_norm,1.0
limma,norm,missForest,center.mean,1.0
limma,norm,missForest,center.median,1.0
DEP,pro_LFQ,nbavg,No_norm,1.0
DEP,pro_LFQ,bpca,No_norm,1.0
limma,pro_LFQ,zero,quantiles,1.0
limma,pro_LFQ,mice,No_norm,1.0
limma,norm,missForest,quantiles,1.0
limma,norm,min,center.mean,1.0
proDA,norm,MinDet,center.mean,1.0
DEP,pro_LFQ,QRILC,No_norm,1.0
proDA,norm,MinProb,center.mean,1.0
limma,pro_LFQ,zero,center.mean,1.0
limma,pro_LFQ,zero,center.median,1.0
limma,norm,min,center.median,1.0
proDA,norm,missForest,No_norm,1.0
limma,pro_LFQ,knn,center.mean,1.0
DEP,pro_LFQ,missForest,No_norm,1.0
proDA,pro_LFQ,QRILC,center.mean,1.0
limma,norm,knn,No_norm,1.0
ROTS,pro_LFQ,zero,center.median,1.0
proDA,norm,MinDet,center.median,1.0
proDA,norm,MinProb,center.median,1.0
limma,pro_LFQ,knn,center.median,1.0
proDA,pro_LFQ,QRILC,center.median,1.0
ROTS,pro_LFQ,zero,center.mean,1.0
limma,norm,mice,center.mean,1.0
proDA,norm,bpca,center.mean,1.0
limma,norm,mice,center.median,1.0
proDA,pro_LFQ,knn,No_norm,1.0
proDA,norm,bpca,center.median,1.0
limma,norm,mice,quantiles,1.0
limma,pro_LFQ,knn,quantiles,1.0
proDA,norm,MLE,center.mean,1.0
limma,norm,zero,center.mean,1.0
proDA,norm,mice,No_norm,1.0
limma,norm,zero,center.median,1.0
proDA,norm,MLE,center.median,1.0
limma,norm,zero,quantiles,1.0
proDA,norm,QRILC,center.mean,1.0
limma,pro_LFQ,mice,quantiles,1.0
proDA,norm,QRILC,center.median,1.0
limma,pro_LFQ,mice,center.median,1.0
DEP,pro_LFQ,knn,No_norm,1.0
limma,norm,knn,center.mean,1.0
DEP,pro_LFQ,MLE,quantiles,1.0
limma,norm,knn,center.median,1.0
DEP,pro_LFQ,min,quantiles,1.0
proDA,pro_LFQ,knn,center.mean,1.0
limma,pro_LFQ,mice,center.mean,1.0
ttest,pro_LFQ,MinDet,No_norm,1.0
proDA,pro_LFQ,knn,center.median,1.0
