0.4394141145139814,frozenset({'pro_LFQ'})
0.11717709720372836,frozenset({'ttest'})
0.15446071904127828,frozenset({'ANOVA'})
0.12583222370173103,frozenset({'max'})
0.1877496671105193,frozenset({'sc'})
0.29161118508655126,frozenset({'pro_inten'})
0.10585885486018642,frozenset({'div.median'})
0.10119840213049268,frozenset({'vsn'})
0.15446071904127828,frozenset({'sum'})
0.1051930758988016,frozenset({'div.mean'})
0.12583222370173103,frozenset({'SAM'})
0.19973368841544606,frozenset({'quantiles.robust'})
