"protein","contrast","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"41","sp|P32589|HSP7F_YEAST","conditionB-conditionA",1.80509290067058e-09,-1.13975028162788,1.68977478751593e-07,"YEAST","1","-1"
"42","sp|Q03558|OYE2_YEAST;sp|P41816|OYE3_YEAST","conditionB-conditionA",1.83571388823387e-09,-1.11526118958879,1.68977478751593e-07,"YEAST","1","-1"
"43","sp|P40008|FMP52_YEAST","conditionB-conditionA",1.87532346790828e-09,-1.11773336550708,1.68977478751593e-07,"YEAST","1","-1"
"44","sp|P05750|RS3_YEAST","conditionB-conditionA",1.90672212904246e-09,-1.15465099033465,1.68977478751593e-07,"YEAST","1","-1"
"45","sp|P39015|STM1_YEAST","conditionB-conditionA",1.9546864489557e-09,-1.1701063097826,1.68977478751593e-07,"YEAST","1","-1"
"46","sp|P25443|RS2_YEAST","conditionB-conditionA",2.03886054855956e-09,-1.16971260678442,1.68977478751593e-07,"YEAST","1","-1"
"47","sp|P15019|TAL1_YEAST","conditionB-conditionA",2.04847693823239e-09,-1.12637535609471,1.68977478751593e-07,"YEAST","1","-1"
"48","sp|P36008|EF1G2_YEAST","conditionB-conditionA",2.05038227618505e-09,-1.13940812677082,1.68977478751593e-07,"YEAST","1","-1"
"49","sp|P05744|RL33A_YEAST","conditionB-conditionA",2.10215581090582e-09,-1.11086445987924,1.68977478751593e-07,"YEAST","1","-1"
"50","sp|P05755|RS9B_YEAST","conditionB-conditionA",2.11829500616461e-09,-1.1287469729615,1.68977478751593e-07,"YEAST","1","-1"
"51","sp|P0C0V8|RS21A_YEAST;sp|Q3E754|RS21B_YEAST","conditionB-conditionA",2.1279765620075e-09,-1.22662246455929,1.68977478751593e-07,"YEAST","1","-1"
"52","sp|P49166|RL37A_YEAST","conditionB-conditionA",2.13250807809846e-09,-1.2039044012148,1.68977478751593e-07,"YEAST","1","-1"
"53","sp|P32563|VPP1_YEAST","conditionB-conditionA",2.13609535349556e-09,-1.10543236545906,1.68977478751593e-07,"YEAST","1","-1"
"54","sp|Q02642|NACB1_YEAST","conditionB-conditionA",2.16861266583991e-09,-1.16114674113249,1.68977478751593e-07,"YEAST","1","-1"
