"protein","contrast","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"6885","sp|Q8N3U4|STAG2_HUMAN","conditionB-conditionA",0.124300158771201,0.116047047527882,0.150983620596014,"HUMAN","0","0"
"6886","sp|Q8IYI6|EXOC8_HUMAN","conditionB-conditionA",0.124331586227673,0.114268158981964,0.150999862855363,"HUMAN","0","0"
"6887","sp|Q00536|CDK16_HUMAN","conditionB-conditionA",0.124381992164556,0.112698373463348,0.151032748355482,"HUMAN","0","0"
"6888","sp|O94776|MTA2_HUMAN","conditionB-conditionA",0.124402035707915,0.109090762721444,0.151032748355482,"HUMAN","0","0"
"6889","sp|Q9H0U4|RAB1B_HUMAN;sp|Q92928|RAB1C_HUMAN","conditionB-conditionA",0.124412842690532,0.0992654386713645,0.151032748355482,"HUMAN","0","0"
"6890","sp|Q9H0C8|ILKAP_HUMAN","conditionB-conditionA",0.124591995263793,0.118144054931418,0.151220520466369,"HUMAN","0","0"
"6891","sp|Q15018|ABRX2_HUMAN","conditionB-conditionA",0.124603683670184,0.11334585390093,0.151220520466369,"HUMAN","0","0"
"6892","sp|Q6NXP0|EFC12_HUMAN","conditionB-conditionA",0.124658357824545,0.20395182902988,0.151264922589477,"HUMAN","0","0"
"6893","sp|P30740|ILEU_HUMAN","conditionB-conditionA",0.124800120165666,0.119638015132001,0.151414972427893,"HUMAN","0","0"
"6894","sp|Q9HB09|B2L12_HUMAN","conditionB-conditionA",0.124890347042733,0.105130939362906,0.151502461897067,"HUMAN","0","0"
"6895","sp|P34949|MPI_HUMAN","conditionB-conditionA",0.124921861527365,0.184342432091045,0.15151871326372,"HUMAN","0","0"
"6896","sp|Q8N1S5|S39AB_HUMAN","conditionB-conditionA",0.124971873695479,-0.117835275835312,0.151557392650129,"HUMAN","0","0"
"6897","sp|P26373|RL13_HUMAN","conditionB-conditionA",0.125019842724835,0.114465061980026,0.15158707877227,"HUMAN","0","0"
"6898","sp|P60842|IF4A1_HUMAN","conditionB-conditionA",0.125032604253392,0.110238737515653,0.15158707877227,"HUMAN","0","0"
"6899","sp|Q96BZ8|LENG1_HUMAN","conditionB-conditionA",0.125143218282873,0.117335360170838,0.151699193288834,"HUMAN","0","0"
"6900","sp|O60242|AGRB3_HUMAN","conditionB-conditionA",0.125226826059175,0.162768990098845,0.151778542946795,"HUMAN","0","0"
"6901","sp|Q96RU3|FNBP1_HUMAN","conditionB-conditionA",0.125389589408756,0.103985492082648,0.151953794555199,"HUMAN","0","0"
"6902","sp|P43490|NAMPT_HUMAN","conditionB-conditionA",0.125418370760678,0.106827583211182,0.151966652372001,"HUMAN","0","0"
"6903","sp|Q96DX4|RSPRY_HUMAN","conditionB-conditionA",0.125624042819679,0.105206188696578,0.152193809952336,"HUMAN","0","0"
"6904","sp|P62760|VISL1_HUMAN","conditionB-conditionA",0.125690215811659,0.1292936537826,0.152251922774175,"HUMAN","0","0"
"6905","sp|P08758|ANXA5_HUMAN","conditionB-conditionA",0.125756537621725,0.11070473709897,0.152310199005139,"HUMAN","0","0"
"6906","sp|Q969M1|TM40L_HUMAN","conditionB-conditionA",0.125803179539827,0.117691969312762,0.152329594429981,"HUMAN","0","0"
"6907","sp|Q9UL33|TPC2L_HUMAN","conditionB-conditionA",0.125808981074719,0.108115804058463,0.152329594429981,"HUMAN","0","0"
"6908","sp|O95139|NDUB6_HUMAN","conditionB-conditionA",0.125859983428383,0.107574339249168,0.15236928798662,"HUMAN","0","0"
"6909","sp|P48059|LIMS1_HUMAN;sp|Q7Z4I7|LIMS2_HUMAN","conditionB-conditionA",0.125889310361829,0.124271611222721,0.152382733037484,"HUMAN","0","0"
"6910","sp|P62070|RRAS2_HUMAN","conditionB-conditionA",0.125973712194128,0.102986756949952,0.152456792202907,"HUMAN","0","0"
"6911","sp|Q86U42|PABP2_HUMAN","conditionB-conditionA",0.125986953355769,0.109740270817313,0.152456792202907,"HUMAN","0","0"
"6912","sp|P55327|TPD52_HUMAN","conditionB-conditionA",0.126229869680442,0.126718153909987,0.152728645853232,"HUMAN","0","0"
"6913","sp|P50213|IDH3A_HUMAN","conditionB-conditionA",0.126307900524127,0.139920418267467,0.152800950684692,"HUMAN","0","0"
"6914","sp|P20290|BTF3_HUMAN","conditionB-conditionA",0.126365451541231,0.151157194578225,0.152848462719021,"HUMAN","0","0"
"6915","sp|P39019|RS19_HUMAN","conditionB-conditionA",0.12658401562509,0.105430104795743,0.153090690191269,"HUMAN","0","0"
"6916","sp|Q96C90|PP14B_HUMAN","conditionB-conditionA",0.126619782470364,0.136318026850225,0.153111804626902,"HUMAN","0","0"
"6917","sp|Q02252|MMSA_HUMAN","conditionB-conditionA",0.126658805504627,0.106207731506162,0.153136849853288,"HUMAN","0","0"
"6918","sp|Q8NAT1|PMGT2_HUMAN","conditionB-conditionA",0.126799858349496,0.114628801752956,0.153285229166931,"HUMAN","0","0"
"6919","sp|P83731|RL24_HUMAN","conditionB-conditionA",0.126868379050144,0.10347030959493,0.153345895938193,"HUMAN","0","0"
"6920","sp|P21333|FLNA_HUMAN","conditionB-conditionA",0.126999440628734,0.128548596826388,0.153465924525024,"HUMAN","0","0"
"6921","sp|Q8WU58|F222B_HUMAN","conditionB-conditionA",0.127004384029379,0.126446031227622,0.153465924525024,"HUMAN","0","0"
"6922","sp|Q9BSI4|TINF2_HUMAN","conditionB-conditionA",0.127036449091831,0.129393515172556,0.15348249404146,"HUMAN","0","0"
"6923","sp|P07099|HYEP_HUMAN","conditionB-conditionA",0.127316766096287,0.105701149252037,0.153798947690777,"HUMAN","0","0"
"6924","sp|P55884|EIF3B_HUMAN","conditionB-conditionA",0.127900141613095,0.105834475413272,0.154481352442275,"HUMAN","0","0"
"6925","sp|P06865|HEXA_HUMAN","conditionB-conditionA",0.127951188201991,0.11385827040918,0.154520691253899,"HUMAN","0","0"
"6926","sp|P08069|IGF1R_HUMAN;sp|P06213|INSR_HUMAN","conditionB-conditionA",0.128051867923137,0.106307176527402,0.154619949673866,"HUMAN","0","0"
"6927","sp|Q9UMY1|NOL7_HUMAN","conditionB-conditionA",0.12812327186256,0.10671656080296,0.154683834645098,"HUMAN","0","0"
"6928","sp|Q8NCS7|CTL5_HUMAN","conditionB-conditionA",0.128179527886704,0.110113518172448,0.154729415663467,"HUMAN","0","0"
"6929","sp|Q969Z0|FAKD4_HUMAN","conditionB-conditionA",0.128399215030236,0.122449744627698,0.154972237739625,"HUMAN","0","0"
"6930","sp|P53999|TCP4_HUMAN","conditionB-conditionA",0.128540894735197,0.115950066197932,0.155120851756198,"HUMAN","0","0"
"6931","sp|Q9P253|VPS18_HUMAN","conditionB-conditionA",0.128703147660026,0.109450240133257,0.155289949660606,"HUMAN","0","0"
"6932","sp|P57764|GSDMD_HUMAN","conditionB-conditionA",0.128718155093545,0.111837762261732,0.155289949660606,"HUMAN","0","0"
"6933","sp|O60264|SMCA5_HUMAN","conditionB-conditionA",0.128834138438197,0.105462180003248,0.15540745705447,"HUMAN","0","0"
"6934","sp|P61604|CH10_HUMAN","conditionB-conditionA",0.128879933997132,0.104381118579199,0.155440278052786,"HUMAN","0","0"
"6935","sp|O43707|ACTN4_HUMAN","conditionB-conditionA",0.128971252317958,0.102558909017077,0.155527986032456,"HUMAN","0","0"
"6936","sp|Q6IA86|ELP2_HUMAN","conditionB-conditionA",0.129050472400031,0.120954233487603,0.155601081413129,"HUMAN","0","0"
"6937","sp|P31040|SDHA_HUMAN","conditionB-conditionA",0.129073521927716,0.111557664392589,0.155606438501007,"HUMAN","0","0"
"6938","sp|Q9UM00|TMCO1_HUMAN","conditionB-conditionA",0.129118951502593,0.134759319682773,0.15563877074318,"HUMAN","0","0"
"6939","sp|P55899|FCGRN_HUMAN","conditionB-conditionA",0.129161306510246,0.133934196012489,0.155667388146013,"HUMAN","0","0"
"6940","sp|Q9H6X2|ANTR1_HUMAN","conditionB-conditionA",0.12923728679818,0.132072346114579,0.155736517218037,"HUMAN","0","0"
"6941","sp|Q8N3F8|MILK1_HUMAN","conditionB-conditionA",0.129278348157847,0.110534279187742,0.15576355361534,"HUMAN","0","0"
"6942","sp|P47897|SYQ_HUMAN","conditionB-conditionA",0.129443346605612,0.109665742195969,0.155922507475755,"HUMAN","0","0"
"6943","sp|P09630|HXC6_HUMAN","conditionB-conditionA",0.129447563004205,0.112341057548257,0.155922507475755,"HUMAN","0","0"
"6944","sp|P07225|PROS_HUMAN","conditionB-conditionA",0.129660026067803,0.127690765156171,0.15615593289243,"HUMAN","0","0"
"6945","sp|P17693|HLAG_HUMAN","conditionB-conditionA",0.129850963802731,0.103612646232726,0.156363370810978,"HUMAN","0","0"
"6946","sp|O15111|IKKA_HUMAN","conditionB-conditionA",0.130125236357162,0.105381873294562,0.156671084315425,"HUMAN","0","0"
"6947","sp|Q9NR48|ASH1L_HUMAN","conditionB-conditionA",0.13035570073072,0.1070679901407,0.156907020073509,"HUMAN","0","0"
"6948","sp|P11413|G6PD_HUMAN","conditionB-conditionA",0.130358720013242,0.109635284619028,0.156907020073509,"HUMAN","0","0"
"6949","sp|P57105|SYJ2B_HUMAN","conditionB-conditionA",0.13043063102804,0.111289903358135,0.156970983923945,"HUMAN","0","0"
"6950","sp|Q17R31|TATD3_HUMAN","conditionB-conditionA",0.130648225164785,0.11396957889701,0.157210231230662,"HUMAN","0","0"
"6951","sp|Q684P5|RPGP2_HUMAN","conditionB-conditionA",0.130911926039581,0.149152292022534,0.157504882386566,"HUMAN","0","0"
"6952","sp|Q9HAN9|NMNA1_HUMAN","conditionB-conditionA",0.131042229142777,0.122821086330866,0.157638976168159,"HUMAN","0","0"
"6953","sp|Q9Y4P8|WIPI2_HUMAN","conditionB-conditionA",0.13111612149053,0.107948076720284,0.157705181076557,"HUMAN","0","0"
"6954","sp|P41091|IF2G_HUMAN;sp|Q2VIR3|IF2GL_HUMAN","conditionB-conditionA",0.131152284848513,0.110027899050429,0.157725993412154,"HUMAN","0","0"
"6955","sp|Q8NBP0|TTC13_HUMAN","conditionB-conditionA",0.131204314316549,0.111579946776988,0.157765877876247,"HUMAN","0","0"
"6956","sp|Q9BWD1|THIC_HUMAN","conditionB-conditionA",0.131415787373154,0.105677237302251,0.157997445342393,"HUMAN","0","0"
"6957","sp|Q9H7Z3|NRDE2_HUMAN","conditionB-conditionA",0.131562396475164,0.133651091807292,0.15815097336809,"HUMAN","0","0"
"6958","sp|Q9UMS4|PRP19_HUMAN","conditionB-conditionA",0.131673928948226,0.104895121616115,0.158262297757117,"HUMAN","0","0"
"6959","sp|Q86UL3|GPAT4_HUMAN","conditionB-conditionA",0.13174914345818,0.125247813157918,0.158329944926104,"HUMAN","0","0"
"6960","sp|Q8NCN5|PDPR_HUMAN","conditionB-conditionA",0.132386588184051,0.106487647059124,0.159073137497589,"HUMAN","0","0"
"6961","sp|O60547|GMDS_HUMAN","conditionB-conditionA",0.132531792519522,0.112201201418191,0.159224735072657,"HUMAN","0","0"
"6962","sp|P28070|PSB4_HUMAN","conditionB-conditionA",0.132556937062681,0.115922667203239,0.159232069039817,"HUMAN","0","0"
"6963","sp|Q7Z449|CP2U1_HUMAN","conditionB-conditionA",0.132730871288178,0.108842320084281,0.159418106646996,"HUMAN","0","0"
"6964","sp|Q02543|RL18A_HUMAN","conditionB-conditionA",0.132777747416447,0.10067223625246,0.159451507990199,"HUMAN","0","0"
"6965","sp|P61018|RAB4B_HUMAN","conditionB-conditionA",0.132957863805644,0.125286223658872,0.159644883705183,"HUMAN","0","0"
"6966","sp|Q9H2W6|RM46_HUMAN","conditionB-conditionA",0.133090697873404,0.109348565321919,0.159781439321745,"HUMAN","0","0"
"6967","sp|Q9H0E3|SP130_HUMAN","conditionB-conditionA",0.133114923997865,0.108743771778149,0.159787585674487,"HUMAN","0","0"
"6968","sp|Q96NB1|CEP20_HUMAN","conditionB-conditionA",0.133220694495423,0.121882989726763,0.15989159989455,"HUMAN","0","0"
"6969","sp|P11940|PABP1_HUMAN;sp|Q9H361|PABP3_HUMAN;sp|Q4VXU2|PAP1L_HUMAN;sp|Q96DU9|PABP5_HUMAN","conditionB-conditionA",0.133392359837944,0.10452775336937,0.16007465996911,"HUMAN","0","0"
"6970","sp|B2RTY4|MYO9A_HUMAN","conditionB-conditionA",0.133672436780333,0.148147296190412,0.160387745881481,"HUMAN","0","0"
"6971","sp|Q9NQS3|NECT3_HUMAN","conditionB-conditionA",0.133739843909877,0.108909813324639,0.160445605310328,"HUMAN","0","0"
"6972","sp|P15407|FOSL1_HUMAN","conditionB-conditionA",0.133864777872066,0.132304274371489,0.160572452286875,"HUMAN","0","0"
"6973","sp|Q9UBV8|PEF1_HUMAN","conditionB-conditionA",0.133950499275003,0.108983563910596,0.160637031945688,"HUMAN","0","0"
"6974","sp|Q9BTT0|AN32E_HUMAN","conditionB-conditionA",0.133957032259862,0.11920781308985,0.160637031945688,"HUMAN","0","0"
"6975","sp|Q99439|CNN2_HUMAN","conditionB-conditionA",0.133991605994121,0.105353526490568,0.160655455330299,"HUMAN","0","0"
"6976","sp|Q13303|KCAB2_HUMAN","conditionB-conditionA",0.134023928919519,0.125064372055684,0.160671175108076,"HUMAN","0","0"
"6977","sp|Q05519|SRS11_HUMAN","conditionB-conditionA",0.134066676068501,0.10921033622534,0.160680225376673,"HUMAN","0","0"
"6978","sp|Q9NPD8|UBE2T_HUMAN","conditionB-conditionA",0.134076469776272,0.115327758223669,0.160680225376673,"HUMAN","0","0"
"6979","sp|O43157|PLXB1_HUMAN;sp|Q9ULL4|PLXB3_HUMAN","conditionB-conditionA",0.134089117888772,0.146110366946552,0.160680225376673,"HUMAN","0","0"
"6980","sp|O75564|JERKY_HUMAN","conditionB-conditionA",0.134125767075796,0.13042198427404,0.160701116053708,"HUMAN","0","0"
"6981","sp|Q96BH1|RNF25_HUMAN","conditionB-conditionA",0.134151500091276,0.111253983954121,0.160708923544384,"HUMAN","0","0"
"6982","sp|Q9Y512|SAM50_HUMAN","conditionB-conditionA",0.134211182015924,0.10734311857426,0.160757392609449,"HUMAN","0","0"
"6983","sp|Q96S59|RANB9_HUMAN","conditionB-conditionA",0.134526015700457,0.11242361239535,0.161111423357141,"HUMAN","0","0"
"6984","sp|Q9UL03|INT6_HUMAN","conditionB-conditionA",0.134624325154042,0.135656861008674,0.161206075495883,"HUMAN","0","0"
"6985","sp|P35222|CTNB1_HUMAN","conditionB-conditionA",0.134755913185738,0.114815665204879,0.161340544305272,"HUMAN","0","0"
"6986","sp|O14907|TX1B3_HUMAN","conditionB-conditionA",0.134797288724876,0.105762486070503,0.161366980476114,"HUMAN","0","0"
"6987","sp|Q9Y2R9|RT07_HUMAN","conditionB-conditionA",0.134851932072909,0.103203043146155,0.16140928981333,"HUMAN","0","0"
"6988","sp|P15529|MCP_HUMAN","conditionB-conditionA",0.134888579767913,0.131937633810846,0.161430050457793,"HUMAN","0","0"
"6989","sp|P57103|NAC3_HUMAN","conditionB-conditionA",0.134975897430533,0.120005458939775,0.161511436573408,"HUMAN","0","0"
"6990","sp|O43513|MED7_HUMAN","conditionB-conditionA",0.135064425563153,0.109724613647126,0.161579932147848,"HUMAN","0","0"
"6991","sp|P09211|GSTP1_HUMAN","conditionB-conditionA",0.135071781136626,0.0997595500408598,0.161579932147848,"HUMAN","0","0"
"6992","sp|P62341|SELT_HUMAN","conditionB-conditionA",0.135379744968304,0.130551629218793,0.161921156377183,"HUMAN","0","0"
"6993","sp|Q96FV9|THOC1_HUMAN","conditionB-conditionA",0.135395748720033,0.107899741588418,0.161921156377183,"HUMAN","0","0"
"6994","sp|Q14315|FLNC_HUMAN","conditionB-conditionA",0.135945295300804,0.11142796613099,0.162521701220712,"HUMAN","0","0"
"6995","sp|Q9NQ86|TRI36_HUMAN","conditionB-conditionA",0.135949549132424,0.094400909515334,0.162521701220712,"HUMAN","0","0"
"6996","sp|Q9P016|THYN1_HUMAN","conditionB-conditionA",0.135956214485245,0.10923626162326,0.162521701220712,"HUMAN","0","0"
"6997","sp|Q9HC52|CBX8_HUMAN","conditionB-conditionA",0.135993505251509,0.101464115308512,0.16254304479325,"HUMAN","0","0"
"6998","sp|Q96LD4|TRI47_HUMAN","conditionB-conditionA",0.136032699108641,0.114918062264504,0.162566656565528,"HUMAN","0","0"
"6999","sp|Q9P013|CWC15_HUMAN","conditionB-conditionA",0.136105516351281,0.113774697560925,0.162630437669062,"HUMAN","0","0"
"7000","sp|Q8WW35|DYT2B_HUMAN","conditionB-conditionA",0.13626422394981,0.120801935838761,0.162796814984609,"HUMAN","0","0"
"7001","sp|Q9BRD0|BUD13_HUMAN","conditionB-conditionA",0.136285980782337,0.115172914811943,0.162799551104511,"HUMAN","0","0"
"7002","sp|P09496|CLCA_HUMAN","conditionB-conditionA",0.136320949817709,0.106545886590716,0.162818066741717,"HUMAN","0","0"
"7003","sp|Q99757|THIOM_HUMAN","conditionB-conditionA",0.136343475779724,0.14050342119631,0.162821717541887,"HUMAN","0","0"
"7004","sp|P60228|EIF3E_HUMAN","conditionB-conditionA",0.136555199757671,0.106682983855937,0.163026696417648,"HUMAN","0","0"
"7005","sp|Q7Z4Q2|HEAT3_HUMAN","conditionB-conditionA",0.136558873633528,0.112534064812561,0.163026696417648,"HUMAN","0","0"
"7006","sp|Q9P015|RM15_HUMAN","conditionB-conditionA",0.136584618917523,0.101193539273151,0.163026696417648,"HUMAN","0","0"
"7007","sp|O43747|AP1G1_HUMAN","conditionB-conditionA",0.136593095994077,0.107043077454063,0.163026696417648,"HUMAN","0","0"
"7008","sp|Q9HCM2|PLXA4_HUMAN","conditionB-conditionA",0.136700557200891,0.130944436772372,0.163113736016268,"HUMAN","0","0"
"7009","sp|Q9Y216|MTMR7_HUMAN","conditionB-conditionA",0.13670503117757,0.133040537266041,0.163113736016268,"HUMAN","0","0"
"7010","sp|A6NIH7|U119B_HUMAN","conditionB-conditionA",0.136945520365545,0.113872049460736,0.163377373297726,"HUMAN","0","0"
"7011","sp|Q9NW15|ANO10_HUMAN","conditionB-conditionA",0.137015551404935,0.0995820229958583,0.163437606104617,"HUMAN","0","0"
"7012","sp|O00151|PDLI1_HUMAN","conditionB-conditionA",0.137160387117706,0.11077743492295,0.163587038999626,"HUMAN","0","0"
"7013","sp|Q9UMF0|ICAM5_HUMAN","conditionB-conditionA",0.137536451474713,0.112020270102021,0.164012169354488,"HUMAN","0","0"
"7014","sp|Q9NQP4|PFD4_HUMAN","conditionB-conditionA",0.137732321971704,0.108181184068995,0.164222328008178,"HUMAN","0","0"
"7015","sp|P09001|RM03_HUMAN","conditionB-conditionA",0.137850708571823,0.125449815434263,0.164331985152293,"HUMAN","0","0"
"7016","sp|P62330|ARF6_HUMAN","conditionB-conditionA",0.137863590557036,0.117172958947866,0.164331985152293,"HUMAN","0","0"
"7017","sp|Q96F85|CNRP1_HUMAN","conditionB-conditionA",0.137893406810328,0.110027537750376,0.164344101632431,"HUMAN","0","0"
"7018","sp|Q14847|LASP1_HUMAN","conditionB-conditionA",0.13794199844816,0.101381071839126,0.164378588347387,"HUMAN","0","0"
"7019","sp|Q9GZN8|ADSSP_HUMAN","conditionB-conditionA",0.13797936470148,0.104382358377715,0.164399690411522,"HUMAN","0","0"
"7020","sp|P26599|PTBP1_HUMAN","conditionB-conditionA",0.138009415049488,0.116786035188134,0.164404342483221,"HUMAN","0","0"
"7021","sp|Q9NYB9|ABI2_HUMAN","conditionB-conditionA",0.138025689717087,0.10912675106486,0.164404342483221,"HUMAN","0","0"
"7022","sp|Q9NX47|MARH5_HUMAN","conditionB-conditionA",0.13804224475872,0.108935996977087,0.164404342483221,"HUMAN","0","0"
"7023","sp|P55268|LAMB2_HUMAN","conditionB-conditionA",0.138086438340755,0.116829718139138,0.164433558855722,"HUMAN","0","0"
"7024","sp|Q12893|TM115_HUMAN","conditionB-conditionA",0.138252739816198,0.124355603189979,0.164608152489018,"HUMAN","0","0"
"7025","sp|P17174|AATC_HUMAN","conditionB-conditionA",0.138356454581675,0.0982837389142574,0.164708189276376,"HUMAN","0","0"
"7026","sp|Q4G0Z9|MCMD2_HUMAN","conditionB-conditionA",0.138568630341582,0.152288324054087,0.164937297971342,"HUMAN","0","0"
"7027","sp|O15145|ARPC3_HUMAN","conditionB-conditionA",0.138648026580509,0.103599436191738,0.165008317389042,"HUMAN","0","0"
"7028","sp|Q6IQ32|ADNP2_HUMAN","conditionB-conditionA",0.139114197782647,0.107196013686465,0.165525041643794,"HUMAN","0","0"
"7029","sp|Q00653|NFKB2_HUMAN","conditionB-conditionA",0.13912178855844,0.128624634747194,0.165525041643794,"HUMAN","0","0"
"7030","sp|Q8IZD4|DCP1B_HUMAN","conditionB-conditionA",0.139269771313189,0.135166677037201,0.165677538761337,"HUMAN","0","0"
"7031","sp|Q99460|PSMD1_HUMAN","conditionB-conditionA",0.139392718880039,0.107611831237446,0.16580021447785,"HUMAN","0","0"
"7032","sp|O43556|SGCE_HUMAN","conditionB-conditionA",0.13960456400435,0.135838832826407,0.166028579176391,"HUMAN","0","0"
"7033","sp|Q9P2T1|GMPR2_HUMAN","conditionB-conditionA",0.139633335563643,0.10169961568171,0.166039184603831,"HUMAN","0","0"
"7034","sp|A2RTX5|SYTC2_HUMAN","conditionB-conditionA",0.139797760199899,0.143249831970859,0.166211070308751,"HUMAN","0","0"
"7035","sp|P07738|PMGE_HUMAN","conditionB-conditionA",0.139884344873293,0.0998011261989678,0.1662903733014,"HUMAN","0","0"
"7036","sp|Q5VTB9|RN220_HUMAN","conditionB-conditionA",0.140361909681718,0.105816442604861,0.166834373318393,"HUMAN","0","0"
"7037","sp|Q9NP64|ZCC17_HUMAN","conditionB-conditionA",0.140382445978731,0.137484255862977,0.16683507115534,"HUMAN","0","0"
"7038","sp|Q9H2B2|SYT4_HUMAN","conditionB-conditionA",0.140533280722547,0.125599683248104,0.166990597709954,"HUMAN","0","0"
"7039","sp|Q13015|AF1Q_HUMAN","conditionB-conditionA",0.14067995617124,0.109405846183898,0.167141138437289,"HUMAN","0","0"
"7040","sp|Q9UNL2|SSRG_HUMAN","conditionB-conditionA",0.140736809173282,0.135612853268005,0.167184933965363,"HUMAN","0","0"
"7041","sp|Q15366|PCBP2_HUMAN","conditionB-conditionA",0.140763653537061,0.102101137118345,0.167193074070507,"HUMAN","0","0"
"7042","sp|Q92618|ZN516_HUMAN","conditionB-conditionA",0.140838299004755,0.116638927965562,0.167243079587407,"HUMAN","0","0"
"7043","sp|O96007|MOC2B_HUMAN","conditionB-conditionA",0.140845750273121,0.0992488372034544,0.167243079587407,"HUMAN","0","0"
"7044","sp|P45954|ACDSB_HUMAN","conditionB-conditionA",0.140895631834148,0.119302506437306,0.167278558919503,"HUMAN","0","0"
"7045","sp|Q9P2J5|SYLC_HUMAN","conditionB-conditionA",0.140939287945269,0.109264973847563,0.167306638053411,"HUMAN","0","0"
"7046","sp|Q9NRX1|PNO1_HUMAN","conditionB-conditionA",0.141088565439767,0.0960453825894435,0.167460072775017,"HUMAN","0","0"
"7047","sp|Q92611|EDEM1_HUMAN","conditionB-conditionA",0.14130419369793,0.141111298498219,0.16769220546272,"HUMAN","0","0"
"7048","sp|P25789|PSA4_HUMAN","conditionB-conditionA",0.141668738041405,0.104714553815411,0.168100972792319,"HUMAN","0","0"
"7049","sp|O43709|BUD23_HUMAN","conditionB-conditionA",0.141812032217516,0.11700078844661,0.168224826466706,"HUMAN","0","0"
"7050","sp|O60583|CCNT2_HUMAN","conditionB-conditionA",0.141813347673117,0.148039069086932,0.168224826466706,"HUMAN","0","0"
"7051","sp|Q8NCD3|HJURP_HUMAN","conditionB-conditionA",0.141882752303849,0.124865658781191,0.168283287124817,"HUMAN","0","0"
"7052","sp|P09429|HMGB1_HUMAN;sp|B2RPK0|HGB1A_HUMAN","conditionB-conditionA",0.141965593172179,0.137376958682556,0.168357665300472,"HUMAN","0","0"
"7053","sp|Q9Y508|RN114_HUMAN","conditionB-conditionA",0.142003619344313,0.108436534098427,0.168378883960938,"HUMAN","0","0"
"7054","sp|Q86TM6|SYVN1_HUMAN","conditionB-conditionA",0.142031706629281,0.116364420190924,0.168388313374068,"HUMAN","0","0"
"7055","sp|Q04828|AK1C1_HUMAN;sp|P52895|AK1C2_HUMAN;sp|P42330|AK1C3_HUMAN;sp|P17516|AK1C4_HUMAN","conditionB-conditionA",0.142219191823186,0.113815275232764,0.168586690463119,"HUMAN","0","0"
"7056","sp|Q8NFW8|NEUA_HUMAN","conditionB-conditionA",0.142468843265506,0.113728783715172,0.16885869277628,"HUMAN","0","0"
"7057","sp|P52888|THOP1_HUMAN","conditionB-conditionA",0.142544222243839,0.103928656494566,0.168924093896163,"HUMAN","0","0"
"7058","sp|Q8IXH7|NELFD_HUMAN","conditionB-conditionA",0.142756084534952,0.110962349974571,0.169144026018153,"HUMAN","0","0"
"7059","sp|Q15024|EXOS7_HUMAN","conditionB-conditionA",0.142770259435865,0.130916737592522,0.169144026018153,"HUMAN","0","0"
"7060","sp|Q5QJE6|TDIF2_HUMAN","conditionB-conditionA",0.142791983026163,0.106779057058673,0.169145800856629,"HUMAN","0","0"
"7061","sp|P54578|UBP14_HUMAN","conditionB-conditionA",0.142914761689695,0.0994532807355473,0.16926726412844,"HUMAN","0","0"
"7062","sp|P13010|XRCC5_HUMAN","conditionB-conditionA",0.142957440083763,0.112276302925845,0.169293836224938,"HUMAN","0","0"
"7063","sp|Q9BZ67|FRMD8_HUMAN;sp|Q9BZ68|FR8P1_HUMAN","conditionB-conditionA",0.14329457935459,0.123323908937131,0.169669059484983,"HUMAN","0","0"
"7064","sp|Q9Y3C1|NOP16_HUMAN","conditionB-conditionA",0.143375604444674,0.107576983722454,0.169740965454531,"HUMAN","0","0"
"7065","sp|P62310|LSM3_HUMAN","conditionB-conditionA",0.143840635740544,0.107052554939853,0.170267407883676,"HUMAN","0","0"
"7066","sp|Q6PJG6|BRAT1_HUMAN","conditionB-conditionA",0.144049072710635,0.113855198520004,0.17049000779494,"HUMAN","0","0"
"7067","sp|O15498|YKT6_HUMAN","conditionB-conditionA",0.144138650704048,0.114175221970516,0.170571888472895,"HUMAN","0","0"
"7068","sp|Q6NW29|RWDD4_HUMAN","conditionB-conditionA",0.144323300718333,0.109793687747597,0.170766237111972,"HUMAN","0","0"
"7069","sp|Q9BYH1|SE6L1_HUMAN","conditionB-conditionA",0.144466700205105,0.144223460745102,0.170911729214216,"HUMAN","0","0"
"7070","sp|Q9Y6Q9|NCOA3_HUMAN","conditionB-conditionA",0.144523302169114,0.12182387152982,0.170954508633706,"HUMAN","0","0"
"7071","sp|Q9Y281|COF2_HUMAN","conditionB-conditionA",0.144709107840788,0.116704439366909,0.171150087522629,"HUMAN","0","0"
"7072","sp|Q8N1G1|REXO1_HUMAN","conditionB-conditionA",0.144798899735107,0.122330055884222,0.171232069921479,"HUMAN","0","0"
"7073","sp|P50479|PDLI4_HUMAN","conditionB-conditionA",0.144847460987097,0.116598730871457,0.171252325045092,"HUMAN","0","0"
"7074","sp|P29992|GNA11_HUMAN;sp|O95837|GNA14_HUMAN","conditionB-conditionA",0.14485698282542,0.124054980035904,0.171252325045092,"HUMAN","0","0"
"7075","sp|Q96SU4|OSBL9_HUMAN","conditionB-conditionA",0.144894387892516,0.113382482388415,0.171272334409204,"HUMAN","0","0"
"7076","sp|O75351|VPS4B_HUMAN","conditionB-conditionA",0.145010877818281,0.116988937892454,0.171368197689089,"HUMAN","0","0"
"7077","sp|Q5BKU9|OXLD1_HUMAN","conditionB-conditionA",0.145016469573799,0.122755038618056,0.171368197689089,"HUMAN","0","0"
"7078","sp|Q9Y2G0|EFR3B_HUMAN","conditionB-conditionA",0.145151801118698,0.0983421100258424,0.171503887080484,"HUMAN","0","0"
