"value" "metric" "method"
"1" 0.924695277095933 "G-mean0.05" "TOP1"
"2" 0.74768039980407 "G-mean0.05" "TOP1"
"3" 0.783472817720871 "G-mean0.05" "TOP1"
"4" 0.645167615459112 "G-mean0.05" "TOP1"
"5" 0.826650314706337 "G-mean0.05" "TOP1"
"6" 0.886860305158938 "G-mean0.05" "TOP1"
"7" 0.999535639631335 "G-mean0.05" "TOP1"
"8" 0.204124145231932 "G-mean0.05" "TOP1"
"9" 0.735793630120776 "G-mean0.05" "TOP1"
"10" 0.945765237518529 "G-mean0.05" "TOP1"
"11" 0.0855212538782335 "G-mean0.05" "TOP1"
"12" 0.440955611807706 "G-mean0.05" "TOP1"
"13" 0.0270616212481115 "G-mean0.05" "TOP1"
"14" 0.132992063035883 "G-mean0.05" "TOP1"
"15" 0.916131154912397 "G-mean0.05" "TOP1"
"16" 0.845080219877523 "G-mean0.05" "TOP1"
"17" 0.921906508171916 "G-mean0.05" "TOP1"
"18" 0.920821883714123 "G-mean0.05" "ens_multi-quant"
"19" 0.624649719707105 "G-mean0.05" "ens_multi-quant"
"20" 0.833920773749082 "G-mean0.05" "ens_multi-quant"
"21" 0.669358568978624 "G-mean0.05" "ens_multi-quant"
"22" 0.969353995225389 "G-mean0.05" "ens_multi-quant"
"23" 0.973893200804799 "G-mean0.05" "ens_multi-quant"
"24" 0.997210594287551 "G-mean0.05" "ens_multi-quant"
"25" 0.899788194146957 "G-mean0.05" "ens_multi-quant"
"26" 0.938815496053327 "G-mean0.05" "ens_multi-quant"
"27" 0.997717760432921 "G-mean0.05" "ens_multi-quant"
"28" 0.251530373063873 "G-mean0.05" "ens_multi-quant"
"29" 0.643241949500295 "G-mean0.05" "ens_multi-quant"
"30" 0.147949734470665 "G-mean0.05" "ens_multi-quant"
"31" 0.313199018304942 "G-mean0.05" "ens_multi-quant"
"32" 0.953996683139608 "G-mean0.05" "ens_multi-quant"
"33" 0.885049005368594 "G-mean0.05" "ens_multi-quant"
"34" 0.942059778233635 "G-mean0.05" "ens_multi-quant"
"35" 0.928250990687656 "G-mean0.05" "ens_topk"
"36" 0.715667108466639 "G-mean0.05" "ens_topk"
"37" 0.854986119396022 "G-mean0.05" "ens_topk"
"38" 0.671055869666339 "G-mean0.05" "ens_topk"
"39" 0.953753032391854 "G-mean0.05" "ens_topk"
"40" 0.987385619764128 "G-mean0.05" "ens_topk"
"41" 0.999071063431648 "G-mean0.05" "ens_topk"
"42" 0.841198948157704 "G-mean0.05" "ens_topk"
"43" 0.873512147482831 "G-mean0.05" "ens_topk"
"44" 0.998732732984735 "G-mean0.05" "ens_topk"
"45" 0.140422203474377 "G-mean0.05" "ens_topk"
"46" 0.503014155644096 "G-mean0.05" "ens_topk"
"47" 0.0715588028373827 "G-mean0.05" "ens_topk"
"48" 0.255299287181736 "G-mean0.05" "ens_topk"
"49" 0.96756169116274 "G-mean0.05" "ens_topk"
"50" 0.896486259575779 "G-mean0.05" "ens_topk"
"51" 0.947250055242192 "G-mean0.05" "ens_topk"
