"idx" "metrics" "performance" "type"
119 "pAUC(0.01)" 0.707023363636364 "mean"
120 "pAUC(0.01)" 0.701473018181818 "mean"
121 "pAUC(0.01)" 0.669365177272727 "mean"
122 "pAUC(0.01)" 0.660314904545455 "mean"
123 "pAUC(0.01)" 0.704313090909091 "mean"
124 "pAUC(0.01)" 0.701978872727273 "mean"
125 "pAUC(0.01)" 0.681297972727273 "mean"
126 "pAUC(0.01)" 0.673938854545455 "mean"
127 "pAUC(0.01)" 0.706509859090909 "mean"
128 "pAUC(0.01)" 0.6988479 "mean"
129 "pAUC(0.01)" 0.716211618181818 "mean"
130 "pAUC(0.01)" 0.718160327272727 "mean"
131 "pAUC(0.01)" 0.689089559090909 "mean"
132 "pAUC(0.01)" 0.74251795 "mean"
133 "pAUC(0.01)" 0.681101413636364 "mean"
134 "pAUC(0.01)" 0.70528415 "mean"
135 "pAUC(0.01)" 0.650354895454546 "mean"
136 "pAUC(0.01)" 0.678628595454545 "mean"
137 "pAUC(0.01)" 0.690049540909091 "mean"
138 "pAUC(0.01)" 0.7271099 "mean"
139 "pAUC(0.01)" 0.650688386363636 "mean"
140 "pAUC(0.01)" 0.700859313636364 "mean"
141 "pAUC(0.01)" 0.659178363636364 "mean"
142 "pAUC(0.01)" 0.653883681818182 "mean"
143 "pAUC(0.01)" 0.643657218181818 "mean"
144 "pAUC(0.01)" 0.655261854545454 "mean"
145 "pAUC(0.01)" 0.70349035 "mean"
146 "pAUC(0.01)" 0.741756231818182 "mean"
147 "pAUC(0.01)" 0.652636768181818 "mean"
148 "pAUC(0.01)" 0.661988313636364 "mean"
149 "pAUC(0.01)" 0.702318631818182 "mean"
150 "pAUC(0.01)" 0.678053213636364 "mean"
151 "pAUC(0.01)" 0.701407227272727 "mean"
152 "pAUC(0.01)" 0.668553259090909 "mean"
153 "pAUC(0.01)" 0.740221559090909 "mean"
154 "pAUC(0.01)" 0.725539581818182 "mean"
155 "pAUC(0.01)" 0.715862545454545 "mean"
156 "pAUC(0.01)" 0.648393295454545 "mean"
157 "pAUC(0.01)" 0.715272145454545 "mean"
158 "pAUC(0.01)" 0.737609118181818 "mean"
159 "pAUC(0.01)" 0.702513809090909 "mean"
160 "pAUC(0.01)" 0.672019645454546 "mean"
161 "pAUC(0.01)" 0.702522272727273 "mean"
162 "pAUC(0.01)" 0.657293922727273 "mean"
163 "pAUC(0.01)" 0.660547786363636 "mean"
164 "pAUC(0.01)" 0.691045945454545 "mean"
165 "pAUC(0.01)" 0.698716331818182 "mean"
166 "pAUC(0.01)" 0.726061786363636 "mean"
167 "pAUC(0.01)" 0.739427454545455 "mean"
168 "pAUC(0.01)" 0.737638645454545 "mean"
169 "pAUC(0.01)" 0.723626918181818 "mean"
170 "pAUC(0.01)" 0.668810909090909 "mean"
171 "pAUC(0.01)" 0.680462927272727 "mean"
172 "pAUC(0.01)" 0.725428340909091 "mean"
173 "pAUC(0.01)" 0.673202672727273 "mean"
174 "pAUC(0.01)" 0.644653940909091 "mean"
175 "pAUC(0.01)" 0.671915522727273 "mean"
176 "pAUC(0.01)" 0.694989218181818 "mean"
177 "pAUC(0.01)" 0.655173118181818 "mean"
178 "pAUC(0.01)" 0.704854727272727 "mean"
179 "pAUC(0.01)" 0.656715454545455 "mean"
180 "pAUC(0.01)" 0.64733455 "mean"
181 "pAUC(0.01)" 0.646427663636364 "mean"
182 "pAUC(0.01)" 0.657643090909091 "mean"
183 "pAUC(0.01)" 0.681525463636364 "mean"
184 "pAUC(0.01)" 0.678425431818182 "mean"
185 "pAUC(0.01)" 0.699030327272727 "mean"
186 "pAUC(0.01)" 0.679513695454545 "mean"
187 "pAUC(0.01)" 0.711555518181818 "mean"
188 "pAUC(0.01)" 0.695570086363636 "mean"
189 "pAUC(0.01)" 0.703751745454545 "mean"
190 "pAUC(0.01)" 0.716181354545455 "mean"
