"FG_DDA" "MQ_DDA" "MQ_TMT" "FG_TMT" "DIANN_DIA" "spt_DIA" "average"
"proDA" 3.2 4 2 3.8 4 4.2 3.53333333333333
"limma" 1.6 1.8 1.6 1.8 2 2 1.8
"DEP" 4.6 4.2 4.2 3.2 3.6 3.6 3.9
"DEqMS" 4.6 4.6 NA NA NA NA NA
"SAM" 5.8 6 5.8 5.8 5.6 5.6 5.76666666666667
"ROTS" 3 2.2 3.6 3.6 1.8 1.6 2.63333333333333
"ttest" 6.8 7 5.4 4.6 6 6 5.96666666666667
"ANOVA" 6.4 6.2 5.4 5.2 5 5 5.53333333333333
