"workflow","DEA","Platform","Matrix","Imput","normalization","runTime","mean_pauc001","median_pauc001","rank_mean_pauc001","rank_median_pauc001","mean_pauc005","median_pauc005","rank_mean_pauc005","rank_median_pauc005","mean_pauc01","median_pauc01","rank_mean_pauc01","rank_median_pauc01","mean_nmcc005","median_nmcc005","rank_mean_nmcc005","rank_median_nmcc005","mean_gmean005","median_gmean005","rank_mean_gmean005","rank_median_gmean005","avg_rank_mean","avg_rank_median","exact_rank","setting","rank","label"
"ROTS|DIANN|top3|Impseq|blank","ROTS","DIANN","top3","Impseq","none",0,0.654258947058823,0.5953769,1602,1908,0.752936905882353,0.7268904,905,1441,0.787657264705882,0.7689766,603,1352,0.737489488235294,0.7643911,450,696,0.62106556,0.74319254,254,383,762.8,1156,380,"DIANN_DIA","top2","ROTS|none|Impseq(380)"
"limma|DIANN|top1|Impseq|blank","limma","DIANN","top1","Impseq","none",0,0.632089358823529,0.5639876,2083,2726,0.702724817647059,0.6573401,1818,2231,0.730903782352941,0.6984381,1723,2213,0.701278864705882,0.7034371,1058,1112,0.592486083529412,0.6911659,442,665,1424.8,1789.4,788,"DIANN_DIA","top1","limma|none|Impseq(788)"
"limma|DIANN|top1|bpca|blank","limma","DIANN","top1","bpca","none",0,0.626507176470588,0.5631922,2222,2762,0.696976623529412,0.6420925,1953,2657,0.724058823529412,0.6887172,1904,2358,0.693907882352941,0.6966063,1185,1181,0.581015774705882,0.6604318,533,922,1559.4,1976,883,"DIANN_DIA","top2","limma|none|bpca(883)"
"ROTS|spt|dlfq|MinDet|blank","ROTS","spt","dlfq","MinDet","none",0,0.742607047058824,0.7687956,25,3,0.807162211764706,0.8688522,31,15,0.8298699,0.8954391,37,52,0.785623135294118,0.8384669,4,55,0.652352435882353,0.7624459,222,289,63.8,82.8,1,"spt_DIA","top1","ROTS|none|MinDet(1)"
"ROTS|spt|dlfq|Impseq|blank","ROTS","spt","dlfq","Impseq","none",0,0.745626476470588,0.7647003,10,12,0.811291988235294,0.8756668,18,2,0.835208364705882,0.9024405,19,8,0.782335729411765,0.8361811,12,61,0.645347848823529,0.7488919,260,380,63.8,92.6,2,"spt_DIA","top2","ROTS|none|Impseq(2)"
"ROTS|spt|LFQ|Impseq|blank","ROTS","spt","LFQ","Impseq","none",0,0.720692958823529,0.6757755,198,1219,0.822140805882353,0.8309737,3,236,0.850577,0.8749302,7,118,0.784459535294118,0.8421091,6,46,0.659276685294118,0.8409195,176,52,78,334.2,9,"spt_DIA","top1","ROTS|none|Impseq(9)"
"ROTS|spt|LFQ|bpca|blank","ROTS","spt","LFQ","bpca","none",0,0.720544105882353,0.678798,200,1199,0.820089541176471,0.8253278,6,269,0.848744947058824,0.8764342,8,113,0.783336858823529,0.8354161,9,65,0.658690819411765,0.83534935,180,68,80.6,342.8,10,"spt_DIA","top2","ROTS|none|bpca(10)"
"ROTS|spt|top3|nbavg|blank","ROTS","spt","top3","nbavg","none",0,0.692740511764706,0.6581927,951,1370,0.785618264705882,0.7668144,176,837,0.813858847058823,0.8356546,110,403,0.779276052941177,0.8113829,25,145,0.648935007058824,0.803242,242,139,300.8,578.8,68,"spt_DIA","top1","ROTS|none|nbavg(68)"
"ROTS|spt|top3|MinDet|blank","ROTS","spt","top3","MinDet","none",0,0.693976694117647,0.6582199,901,1369,0.783086529411765,0.766256,210,852,0.811152858823529,0.8056341,142,665,0.765120694117647,0.8448518,81,38,0.625524331176471,0.81821118,359,108,338.6,606.4,90,"spt_DIA","top2","ROTS|none|MinDet(90)"
"limma|spt|top1|Impseq|blank","limma","spt","top1","Impseq","none",0,0.663882623529412,0.5998264,1710,2347,0.740731970588235,0.696033,929,2266,0.768208311764706,0.733648,788,2253,0.731514658823529,0.7550289,510,635,0.627803324705882,0.74120857,346,428,856.6,1585.8,411,"spt_DIA","top1","limma|none|Impseq(411)"
"DEP|spt|top1|Impseq|blank","DEP","spt","top1","Impseq","none",0,0.655440070588235,0.5999019,1918,2344,0.739311658823529,0.6960496,967,2265,0.768261041176471,0.7336543,786,2252,0.7122928,0.7315848,1010,1111,0.584717982941176,0.62349633,660,1250,1068.2,1844.4,585,"spt_DIA","top2","DEP|none|Impseq(585)"
