"FG_DDA" "MQ_DDA" "FG_TMT" "DIANN_DIA" "spt_DIA" "MQ_TMT"
"LFQ" 2.4 3.2 NA 2 2 NA
"dlfq" 1.6 1 NA 1 1 NA
"top3" 3.6 2.6 NA 3 3 NA
"top0" 2.4 3.2 NA NA NA NA
"top1" NA NA NA 4 4 NA
"abd" NA NA 1.2 NA NA NA
"phi" NA NA 1.8 NA NA NA
"ratio" NA NA 3 NA NA NA
"reporter" NA NA NA NA NA 1
