"value" "metric" "method"
"1" 0.791333709556696 "G-mean0.05" "TOP1"
"2" 0.79679229388179 "G-mean0.05" "TOP1"
"3" 0.860812167615856 "G-mean0.05" "TOP1"
"4" 0.829589659788541 "G-mean0.05" "TOP1"
"5" 0.0763486422229823 "G-mean0.05" "TOP1"
"6" 0.56345301198441 "G-mean0.05" "TOP1"
"7" 0.147303109313222 "G-mean0.05" "TOP1"
"8" 0.105880077086602 "G-mean0.05" "TOP1"
"9" 0.934866666821639 "G-mean0.05" "TOP1"
"10" 0.872069220129647 "G-mean0.05" "TOP1"
"11" 0.717637444257586 "G-mean0.05" "TOP1"
"12" 0.835235923328881 "G-mean0.05" "TOP1"
"13" 0.885585253925347 "G-mean0.05" "TOP1"
"14" 0.977851677940115 "G-mean0.05" "TOP1"
"15" 0.404131357872255 "G-mean0.05" "TOP1"
"16" 0.801225992617329 "G-mean0.05" "TOP1"
"17" 0.983750171399616 "G-mean0.05" "TOP1"
"18" 0.752581093669324 "G-mean0.05" "TOP1"
"19" 0.737684699812374 "G-mean0.05" "TOP1"
"20" 0.760928315925787 "G-mean0.05" "TOP1"
"21" 0.586057282719843 "G-mean0.05" "TOP1"
"22" 0.847407377318283 "G-mean0.05" "TOP1"
"23" 0.827335750868678 "G-mean0.05" "ens_multi-quant"
"24" 0.820023751961092 "G-mean0.05" "ens_multi-quant"
"25" 0.880489131839741 "G-mean0.05" "ens_multi-quant"
"26" 0.874681873765139 "G-mean0.05" "ens_multi-quant"
"27" 0.324807649145004 "G-mean0.05" "ens_multi-quant"
"28" 0.716979083795344 "G-mean0.05" "ens_multi-quant"
"29" 0.297652641983621 "G-mean0.05" "ens_multi-quant"
"30" 0.336022975080066 "G-mean0.05" "ens_multi-quant"
"31" 0.933089712325904 "G-mean0.05" "ens_multi-quant"
"32" 0.897572980839264 "G-mean0.05" "ens_multi-quant"
"33" 0.788984472977409 "G-mean0.05" "ens_multi-quant"
"34" 0.788240781368082 "G-mean0.05" "ens_multi-quant"
"35" 0.761422651332002 "G-mean0.05" "ens_multi-quant"
"36" 0.909562645012959 "G-mean0.05" "ens_multi-quant"
"37" 0.877636458294432 "G-mean0.05" "ens_multi-quant"
"38" 0.883702362810154 "G-mean0.05" "ens_multi-quant"
"39" 0.964485644340824 "G-mean0.05" "ens_multi-quant"
"40" 0.807058810199026 "G-mean0.05" "ens_multi-quant"
"41" 0.756011702340676 "G-mean0.05" "ens_multi-quant"
"42" 0.77383633682857 "G-mean0.05" "ens_multi-quant"
"43" 0.703025921550863 "G-mean0.05" "ens_multi-quant"
"44" 0.891280660946278 "G-mean0.05" "ens_multi-quant"
"45" 0.807775330988354 "G-mean0.05" "ens_topk"
"46" 0.815477200496894 "G-mean0.05" "ens_topk"
"47" 0.837542540464525 "G-mean0.05" "ens_topk"
"48" 0.838829911863585 "G-mean0.05" "ens_topk"
"49" 0 "G-mean0.05" "ens_topk"
"50" 0.572387138912056 "G-mean0.05" "ens_topk"
"51" 0.142550064350653 "G-mean0.05" "ens_topk"
"52" 0.0864653130000527 "G-mean0.05" "ens_topk"
"53" 0.935665903239156 "G-mean0.05" "ens_topk"
"54" 0.878123519501749 "G-mean0.05" "ens_topk"
"55" 0.682924999265548 "G-mean0.05" "ens_topk"
"56" 0.854957531665978 "G-mean0.05" "ens_topk"
"57" 0.912675432668233 "G-mean0.05" "ens_topk"
"58" 0.982662127907906 "G-mean0.05" "ens_topk"
"59" 0.14345802226677 "G-mean0.05" "ens_topk"
"60" 0.852103200979755 "G-mean0.05" "ens_topk"
"61" 0.984178540752119 "G-mean0.05" "ens_topk"
"62" 0.771237047158043 "G-mean0.05" "ens_topk"
"63" 0.71723064820739 "G-mean0.05" "ens_topk"
"64" 0.741879396357586 "G-mean0.05" "ens_topk"
"65" 0.546371142622735 "G-mean0.05" "ens_topk"
"66" 0.847967369300539 "G-mean0.05" "ens_topk"
