"value" "metric" "method"
"1" 0.905249501686496 "G-mean0.05" "TOP1"
"2" 0.725531087717142 "G-mean0.05" "TOP1"
"3" 0.703479773391102 "G-mean0.05" "TOP1"
"4" 0.536901897704205 "G-mean0.05" "TOP1"
"5" 0.921611619679402 "G-mean0.05" "TOP1"
"6" 0.966203839544514 "G-mean0.05" "TOP1"
"7" 0.99953172556552 "G-mean0.05" "TOP1"
"8" 0.144266517543017 "G-mean0.05" "TOP1"
"9" 0.762445944902088 "G-mean0.05" "TOP1"
"10" 0.967292369224039 "G-mean0.05" "TOP1"
"11" 0.0686003025306935 "G-mean0.05" "TOP1"
"12" 0.330059927848371 "G-mean0.05" "TOP1"
"13" 0 "G-mean0.05" "TOP1"
"14" 0.264287426642421 "G-mean0.05" "TOP1"
"15" 0.958916120503063 "G-mean0.05" "TOP1"
"16" 0.914790301313773 "G-mean0.05" "TOP1"
"17" 0.920823172557818 "G-mean0.05" "TOP1"
"18" 0.918863591755788 "G-mean0.05" "ens_multi-quant"
"19" 0.626024298425312 "G-mean0.05" "ens_multi-quant"
"20" 0.849726014940432 "G-mean0.05" "ens_multi-quant"
"21" 0.57749002891133 "G-mean0.05" "ens_multi-quant"
"22" 0.971529202795852 "G-mean0.05" "ens_multi-quant"
"23" 0.984191525467222 "G-mean0.05" "ens_multi-quant"
"24" 0.995542499802925 "G-mean0.05" "ens_multi-quant"
"25" 0.674332565911523 "G-mean0.05" "ens_multi-quant"
"26" 0.953843757323927 "G-mean0.05" "ens_multi-quant"
"27" 0.984402014481627 "G-mean0.05" "ens_multi-quant"
"28" 0.201569952440035 "G-mean0.05" "ens_multi-quant"
"29" 0.531329687811576 "G-mean0.05" "ens_multi-quant"
"30" 0.150601738927209 "G-mean0.05" "ens_multi-quant"
"31" 0.466447514491237 "G-mean0.05" "ens_multi-quant"
"32" 0.97194233519644 "G-mean0.05" "ens_multi-quant"
"33" 0.933123919731605 "G-mean0.05" "ens_multi-quant"
"34" 0.945752388846091 "G-mean0.05" "ens_multi-quant"
"35" 0.91625836255762 "G-mean0.05" "ens_topk"
"36" 0.670532420993822 "G-mean0.05" "ens_topk"
"37" 0.850117335916092 "G-mean0.05" "ens_topk"
"38" 0.552741858826961 "G-mean0.05" "ens_topk"
"39" 0.777099618519801 "G-mean0.05" "ens_topk"
"40" 0.612372435695794 "G-mean0.05" "ens_topk"
"41" 0.381881307912987 "G-mean0.05" "ens_topk"
"42" 0.558328803797195 "G-mean0.05" "ens_topk"
"43" 0.761504071849632 "G-mean0.05" "ens_topk"
"44" 0.595119035711904 "G-mean0.05" "ens_topk"
"45" 0 "G-mean0.05" "ens_topk"
"46" 0 "G-mean0.05" "ens_topk"
"47" 0 "G-mean0.05" "ens_topk"
"48" 0.0482924637135287 "G-mean0.05" "ens_topk"
"49" 0.547524491464212 "G-mean0.05" "ens_topk"
"50" 0.17415007378898 "G-mean0.05" "ens_topk"
"51" 0.945861887962038 "G-mean0.05" "ens_topk"
