"Estimate" "Std. Error" "t value" "Pr(>|t|)" "variable" "log10Est" "log10p" "effection" "label"
4358.51335299718 640.707586725082 6.80265606854341 1.10292769692255e-11 "(Intercept)" 3.63933838085377 10.9574529570583 "positive" "(Intercept)"
-922.890904017646 641.552174578727 -1.43852821420746 0.150324334347787 "DEAbeta_binomial" -2.96515036561591 0.82297071058057 "NA" ""
3145.5212053564 52.0331869961956 60.4522111164628 1.00364651185868e-308 "DEADEP" 3.49769261730301 307.998419220439 "positive" "DEADEP"
2932.6406249998 52.0331869962029 56.3609648821589 1.00364651185868e-308 "DEADEqMS" 3.46725884643024 307.998419220439 "positive" "DEADEqMS"
-352.056082589014 641.552174578734 -0.548756744251061 0.583188095553443 "DEAedgeR" -2.54661185216805 0.234191349724747 "NA" ""
3365.18303571329 52.0331869961935 64.6737828293983 1.00364651185868e-308 "DEAlimma" 3.52700869091911 307.998419220439 "positive" "DEAlimma"
1306.06998033612 715.251312604483 1.82602947708025 0.0678840072379708 "DEAMSstats" 3.11596644742879 1.16823252890635 "NA" ""
-571.123046874469 641.552174578727 -0.890220732630973 0.373374812867359 "DEAplgem" -2.75672968586684 0.427854982052881 "NA" ""
1538.54017857152 52.0331869962055 29.5684402088175 3.19022689336338e-182 "DEAproDA" 3.18710884221757 181.496178428218 "positive" "DEAproDA"
2730.10825892862 52.0331869962046 52.4685958430293 1.00364651185868e-308 "DEAROTS" 3.43617986877084 307.998419220439 "positive" "DEAROTS"
1577.50111607155 52.0331869962057 30.3172111327062 5.7605767487126e-191 "DEASAM" 3.19796967517674 190.239534032854 "positive" "DEASAM"
1752.12388392866 52.033186996205 33.6731994535804 3.20504036725518e-232 "DEAttest" 3.24356480971136 231.494166496203 "positive" "DEAttest"
-192.166666666667 635.856048159727 -0.30221725062273 0.762494507378312 "ImputFALSE" -2.28367805691106 0.11776328040594 "NA" ""
-3637.47346938786 70.3617110030854 -51.6967739631624 1.00364651185868e-308 "ImputGMS" -3.56079983439521 307.998419220439 "negative" "ImputGMS"
-126.322448979606 70.3617110030782 -1.7953294082641 0.0726399034165722 "ImputImpseq" -2.10148053663307 1.13882474193297 "NA" ""
-433.340816326495 70.3617110030772 -6.15875893506261 7.69478080811254e-10 "ImputImpseqrob" -2.63682959711313 9.11380374687643 "negative" "ImputImpseqrob"
-72.4836734693846 70.3617110030816 -1.03015791452556 0.302967803445974 "Imputknn" -1.86024019525176 0.51860352175744 "NA" ""
-92.6102040816305 70.3617110030809 -1.31620170631688 0.188145003370511 "Imputmice" -1.96665884124126 0.725507310894102 "NA" ""
-797.242857142813 70.3617110030776 -11.3306348833379 1.57259594220391e-29 "Imputmin" -2.90159063689291 28.8033828492858 "negative" "Imputmin"
54.0897959183719 70.3617110030849 0.768739064858733 0.442071489159565 "ImputMinDet" 1.73311534284543 0.354507493463162 "NA" ""
216.434693877543 70.3617110030817 3.07602943123517 0.00210503052311242 "ImputMinProb" 2.33532687820847 2.67674160247763 "positive" "ImputMinProb"
401.177551020389 70.3617110030826 5.70164575734681 1.2298224023275e-08 "ImputmissForest" 2.60333662290086 7.91015760015249 "positive" "ImputmissForest"
-1544.57142857151 70.3617110030831 -21.9518742019197 1.08589561506686e-103 "ImputMLE" -3.18880799701245 102.964211920584 "negative" "ImputMLE"
-15.0714285714333 70.3617110030821 -0.214199290446094 0.830397244864616 "Imputnbavg" -1.17815441961959 0.0807141004181598 "NA" ""
-216.448979591836 70.3617110030817 -3.07623246373807 0.00210359932516526 "Imputno_imp" -2.33535554275403 2.67703697718024 "negative" "Imputno_imp"
135.499999999997 70.3617110030822 1.92576328898627 0.0541702209762057 "ImputQRILC" 2.13193929521042 1.26623939279472 "NA" ""
315.908163265303 70.3617110030821 4.48977375282225 7.232288084169e-06 "ImputSeqKNN" 2.49956084849226 5.14072428290976 "positive" "ImputSeqKNN"
-771.473469387758 70.3617110030824 -10.9643932529435 9.03096720976132e-28 "Imputzero" -2.8873209954716 27.0442657345849 "negative" "Imputzero"
165.589285714269 65.817353930184 2.51589095924334 0.0118930953795887 "normalizationcenter.median" 2.21903223277672 1.92470509817186 "NA" ""
-1878.10892857148 65.8173539301837 -28.5351630903257 1.91473974816436e-170 "normalizationdiv.mean" -3.2737207773367 169.717890247083 "negative" "normalizationdiv.mean"
-1687.21785714283 65.817353930183 -25.6348478994245 3.18178416441485e-139 "normalizationdiv.median" -3.22717116323306 138.497329283955 "negative" "normalizationdiv.median"
245.49999999999 778.761433926949 0.315244167603476 0.752584700776222 "normalizationequalizeMedians" 2.39005149645897 0.123444614658196 "NA" ""
1581 778.761433926949 2.03014675756055 0.042375468611966 "normalizationFALSE" 3.19893186993221 1.37288548608761 "NA" ""
227.416071428552 65.8173539301854 3.45526001652663 0.0005526873537865 "normalizationlossf" 2.35682115290274 3.25752047253343 "positive" "normalizationlossf"
-1761.50892857143 65.8173539301846 -26.7635938454764 4.79747229483783e-151 "normalizationmax" -3.24588484883402 150.318987524614 "negative" "normalizationmax"
-970.480357142885 65.8173539301846 -14.7450527739586 1.48409210405681e-48 "normalizationMBQN" -2.98698674954325 47.8285391455244 "negative" "normalizationMBQN"
575.139285714253 65.8173539301844 8.73841398006263 2.85986736198497e-18 "normalizationno_norm" 2.75977303371874 17.5436541085821 "positive" "normalizationno_norm"
-524.807142857161 65.8173539301844 -7.97368948338229 1.75880100049204e-15 "normalizationquantiles" -2.71999973734767 14.7547832960043 "negative" "normalizationquantiles"
