"FG_DDA" "MQ_DDA" "MQ_TMT" "FG_TMT" "DIANN_DIA" "spt_DIA" "average"
"DEP" 2 2 4 2 3 3 3
"DEqMS" 1 4 NA NA NA NA NA
"limma" 2 3 1 1 2 2 1
"proDA" 5 5 2 4 4 4 4
"ROTS" 4 1 3 3 1 1 2
"SAM" 7 7 7 7 6 6 6
"ttest" 8 8 5 5 7 7 6
"ANOVA" 6 6 5 6 5 5 5
