"value" "metric" "method"
"1" 0.264191568008967 "G-mean0.05" "TOP1"
"2" 0.95609168798536 "G-mean0.05" "TOP1"
"3" 0.918345434411533 "G-mean0.05" "TOP1"
"4" 0.932079535278478 "G-mean0.05" "TOP1"
"5" 0.950909363317896 "G-mean0.05" "TOP1"
"6" 0.223036702750583 "G-mean0.05" "TOP1"
"7" 0.903887437736919 "G-mean0.05" "TOP1"
"8" 0.944230885939268 "G-mean0.05" "TOP1"
"9" 0.900756995098992 "G-mean0.05" "TOP1"
"10" 0.957202054143071 "G-mean0.05" "TOP1"
"11" 0.887473407703622 "G-mean0.05" "TOP1"
"12" 0.955813588516035 "G-mean0.05" "TOP1"
"13" 0.929363055720662 "G-mean0.05" "TOP1"
"14" 0.929446608067557 "G-mean0.05" "TOP1"
"15" 0.193357420603282 "G-mean0.05" "TOP1"
"16" 0.683155762687348 "G-mean0.05" "ens_multi-quant"
"17" 0.955612442447247 "G-mean0.05" "ens_multi-quant"
"18" 0.918013394772055 "G-mean0.05" "ens_multi-quant"
"19" 0.936207503623516 "G-mean0.05" "ens_multi-quant"
"20" 0.954777656321489 "G-mean0.05" "ens_multi-quant"
"21" 0.539590171767222 "G-mean0.05" "ens_multi-quant"
"22" 0.92192684070034 "G-mean0.05" "ens_multi-quant"
"23" 0.950359790741706 "G-mean0.05" "ens_multi-quant"
"24" 0.936226789879154 "G-mean0.05" "ens_multi-quant"
"25" 0.950460962415907 "G-mean0.05" "ens_multi-quant"
"26" 0.934110370008835 "G-mean0.05" "ens_multi-quant"
"27" 0.945244311280424 "G-mean0.05" "ens_multi-quant"
"28" 0.908124836194499 "G-mean0.05" "ens_multi-quant"
"29" 0.877677449135272 "G-mean0.05" "ens_multi-quant"
"30" 0.302460354945901 "G-mean0.05" "ens_multi-quant"
"31" 0.268573617680408 "G-mean0.05" "ens_topk"
"32" 0.956279329749726 "G-mean0.05" "ens_topk"
"33" 0.919470108576667 "G-mean0.05" "ens_topk"
"34" 0.932505031731966 "G-mean0.05" "ens_topk"
"35" 0.952326610492738 "G-mean0.05" "ens_topk"
"36" 0.231052539376711 "G-mean0.05" "ens_topk"
"37" 0.903887437736919 "G-mean0.05" "ens_topk"
"38" 0.944230885939268 "G-mean0.05" "ens_topk"
"39" 0.901250966616845 "G-mean0.05" "ens_topk"
"40" 0.957202054143071 "G-mean0.05" "ens_topk"
"41" 0.887473407703622 "G-mean0.05" "ens_topk"
"42" 0.955904377526734 "G-mean0.05" "ens_topk"
"43" 0.929363055720662 "G-mean0.05" "ens_topk"
"44" 0.929352700857611 "G-mean0.05" "ens_topk"
"45" 0.197136750428612 "G-mean0.05" "ens_topk"
