"value" "metric" "method"
"1" 0.891462794040208 "G-mean0.05" "TOP1"
"2" 0.873660242406205 "G-mean0.05" "TOP1"
"3" 0.904673108687255 "G-mean0.05" "TOP1"
"4" 0.747214027924536 "G-mean0.05" "TOP1"
"5" 0 "G-mean0.05" "TOP1"
"6" 0.369383073728722 "G-mean0.05" "TOP1"
"7" 0.0422267886834467 "G-mean0.05" "TOP1"
"8" 0.0408515732192445 "G-mean0.05" "TOP1"
"9" 0.847434765944828 "G-mean0.05" "TOP1"
"10" 0.757360123761971 "G-mean0.05" "TOP1"
"11" 0.83490939593585 "G-mean0.05" "TOP1"
"12" 0.858062746132576 "G-mean0.05" "TOP1"
"13" 0.94085125495949 "G-mean0.05" "TOP1"
"14" 0.96049575718518 "G-mean0.05" "TOP1"
"15" 0.7948032452816 "G-mean0.05" "TOP1"
"16" 0.921931715937593 "G-mean0.05" "TOP1"
"17" 0.966464738643515 "G-mean0.05" "TOP1"
"18" 0.80296361575163 "G-mean0.05" "TOP1"
"19" 0.694182543980331 "G-mean0.05" "TOP1"
"20" 0.729163798173765 "G-mean0.05" "TOP1"
"21" 0.313416276755788 "G-mean0.05" "TOP1"
"22" 0.726364735725291 "G-mean0.05" "TOP1"
"23" 0.917101183490157 "G-mean0.05" "ens_multi-quant"
"24" 0.903569049120624 "G-mean0.05" "ens_multi-quant"
"25" 0.917040281541248 "G-mean0.05" "ens_multi-quant"
"26" 0.849885510784212 "G-mean0.05" "ens_multi-quant"
"27" 0.219457012873888 "G-mean0.05" "ens_multi-quant"
"28" 0.613171856985613 "G-mean0.05" "ens_multi-quant"
"29" 0.315695466135134 "G-mean0.05" "ens_multi-quant"
"30" 0.37809448052735 "G-mean0.05" "ens_multi-quant"
"31" 0.923919380903514 "G-mean0.05" "ens_multi-quant"
"32" 0.886041179235933 "G-mean0.05" "ens_multi-quant"
"33" 0.806964805014315 "G-mean0.05" "ens_multi-quant"
"34" 0.817528348839396 "G-mean0.05" "ens_multi-quant"
"35" 0.894759598150775 "G-mean0.05" "ens_multi-quant"
"36" 0.938234991309981 "G-mean0.05" "ens_multi-quant"
"37" 0.907569482086723 "G-mean0.05" "ens_multi-quant"
"38" 0.963237920690185 "G-mean0.05" "ens_multi-quant"
"39" 0.959108874712807 "G-mean0.05" "ens_multi-quant"
"40" 0.85368589260732 "G-mean0.05" "ens_multi-quant"
"41" 0.771075046654793 "G-mean0.05" "ens_multi-quant"
"42" 0.789829167158501 "G-mean0.05" "ens_multi-quant"
"43" 0.542805797030161 "G-mean0.05" "ens_multi-quant"
"44" 0.856111385469089 "G-mean0.05" "ens_multi-quant"
"45" 0.904459312909974 "G-mean0.05" "ens_topk"
"46" 0.900346552743895 "G-mean0.05" "ens_topk"
"47" 0.922535872420725 "G-mean0.05" "ens_topk"
"48" 0.821186266381672 "G-mean0.05" "ens_topk"
"49" 0.103471966757631 "G-mean0.05" "ens_topk"
"50" 0.518842373267284 "G-mean0.05" "ens_topk"
"51" 0.145875471023388 "G-mean0.05" "ens_topk"
"52" 0.141475961075247 "G-mean0.05" "ens_topk"
"53" 0.897823171421544 "G-mean0.05" "ens_topk"
"54" 0.856726956725991 "G-mean0.05" "ens_topk"
"55" 0.816301135214573 "G-mean0.05" "ens_topk"
"56" 0.77766881519524 "G-mean0.05" "ens_topk"
"57" 0.902126635238301 "G-mean0.05" "ens_topk"
"58" 0.928878063032042 "G-mean0.05" "ens_topk"
"59" 0.937607444618799 "G-mean0.05" "ens_topk"
"60" 0.962385088778537 "G-mean0.05" "ens_topk"
"61" 0.963610797305984 "G-mean0.05" "ens_topk"
"62" 0.827460261040475 "G-mean0.05" "ens_topk"
"63" 0.751758663096592 "G-mean0.05" "ens_topk"
"64" 0.784870072827947 "G-mean0.05" "ens_topk"
"65" 0.456086652773349 "G-mean0.05" "ens_topk"
"66" 0.825405052639304 "G-mean0.05" "ens_topk"
