"logFC","AveExpr","t","pvalue","adj.pvalue","B","contrast","protein","organism","label","TlogFC"
"sp|P0A6M8|EFG_ECOLI",1.80261734708484,11.5538694503838,122.075093086984,3.51531070600856e-28,3.97968325027229e-24,54.4182654125803,"conditionB-conditionA","sp|P0A6M8|EFG_ECOLI","ECOLI","1","2"
"sp|P0A6Y8|DNAK_ECOLI",1.57461279570283,11.2072587733043,102.201679246594,9.1437831049678e-27,5.17583842656702e-23,51.4539002282447,"conditionB-conditionA","sp|P0A6Y8|DNAK_ECOLI","ECOLI","1","2"
"sp|P0AC33|FUMA_ECOLI",1.66288698051658,10.7947167057036,99.7957230232299,1.41514135749207e-26,5.34027176938923e-23,51.0462294187921,"conditionB-conditionA","sp|P0AC33|FUMA_ECOLI","ECOLI","1","2"
"sp|P02925|RBSB_ECOLI",1.83445223920445,13.3711519186439,96.6640134019924,2.53882251467057e-26,5.99492743065691e-23,50.497262033679,"conditionB-conditionA","sp|P02925|RBSB_ECOLI","ECOLI","1","2"
"sp|P0CE47|EFTU1_ECOLI;sp|P0CE48|EFTU2_ECOLI",1.70714542844918,13.216650746554,96.2253094092434,2.75958074728064e-26,5.99492743065691e-23,50.4186411798317,"conditionB-conditionA","sp|P0CE47|EFTU1_ECOLI;sp|P0CE48|EFTU2_ECOLI","ECOLI","1","2"
"sp|Q46938|KDUI_ECOLI",1.71142066919921,11.8673673617768,95.4882706731105,3.17724269798971e-26,5.99492743065691e-23,50.2855774026052,"conditionB-conditionA","sp|Q46938|KDUI_ECOLI","ECOLI","1","2"
"sp|P0A7D4|PURA_ECOLI",1.80194826602251,11.4354553119733,92.5952450880679,5.58390544574606e-26,8.47000864124216e-23,49.751100263629,"conditionB-conditionA","sp|P0A7D4|PURA_ECOLI","ECOLI","1","2"
"sp|P0A6P9|ENO_ECOLI",1.85259393888548,11.9221825295543,92.2451412846717,5.98534309071083e-26,8.47000864124216e-23,49.6850679178767,"conditionB-conditionA","sp|P0A6P9|ENO_ECOLI","ECOLI","1","2"
"sp|P0A9Q7|ADHE_ECOLI",1.67249899492083,11.1321266083129,91.4052786983939,7.07758820930259e-26,8.90281956861273e-23,49.5254400968766,"conditionB-conditionA","sp|P0A9Q7|ADHE_ECOLI","ECOLI","1","2"
"sp|P36683|ACNB_ECOLI",1.71217098739935,10.9808866294888,90.7362492630825,8.09753012099251e-26,9.16721384997562e-23,49.3970302421345,"conditionB-conditionA","sp|P36683|ACNB_ECOLI","ECOLI","1","2"
"sp|P0A6Z3|HTPG_ECOLI",1.57676628539079,10.6198572672411,89.7612818255347,9.87027667903023e-26,1.01583092984819e-22,49.2078791184195,"conditionB-conditionA","sp|P0A6Z3|HTPG_ECOLI","ECOLI","1","2"
"sp|P00722|BGAL_ECOLI",1.62446079174538,10.8771041550148,86.3296303755364,2.01614614722091e-25,1.90206587772399e-22,48.5223474700871,"conditionB-conditionA","sp|P00722|BGAL_ECOLI","ECOLI","1","2"
