"V1","V2","V3"
"1","ANOVA","1","1"
"2","limma","0.833333333333333","2"
"3","ROTS","0.666666666666667","3"
"4","proDA","0.5","4"
"5","ttest","0.333333333333333","5"
"6","DEP","0.166666666666667","6"
"7","SAM","0","7"
