"blank","bpca","GMS","Impseq","Impseqrob","knn","mice","min","MinDet","MinProb","missForest","MLE","nbavg","QRILC","SeqKNN","zero"
"limma|FragPipe|abd||max_pauc005_B.A_HEqe277_TMT10",0.906300930834723,0.906300473753607,0.906298416888584,0.906300473753607,0.906300473753607,0.906298188348026,0.906300016672491,0.906264821426544,0.906295674401887,0.906352306752183,0.906299331050817,0.906018811228187,0.906422697244077,0.906294760239654,0.906299331050817,0.906196076426669
"limma|FragPipe|abd||max_pauc005_C.A_HEqe277_TMT10",0.947440699530104,0.947421319290778,0.947438642665081,0.947421319290778,0.947421319290778,0.947437728502849,0.947423147615242,0.947421547831336,0.9474363572595,0.9474363572595,0.947439785367872,0.947240315168765,0.947417205560732,0.947435443097268,0.94743548880538,0.947377668044181
"limma|FragPipe|abd||max_pauc005_C.B_HEqe277_TMT10",0.945365734095035,0.945366191176152,0.945366191176152,0.945366191176152,0.945366191176152,0.945366191176152,0.945366191176152,0.945358192256618,0.945365962635593,0.945366191176151,0.945366191176152,0.945366191176151,0.945366191176152,0.945365962635593,0.945366191176151,0.94533396695746
"limma|FragPipe|abd||max_pauc005_B.A_HYqfl683_TMT11",0.953222256934062,0.953493210408725,0.95325205250516,0.953493582853364,0.953502893969332,0.952939943897919,0.953537158876093,0.95306694751972,0.95348315440348,0.953482409514203,0.95342244592737,0.952767502030196,0.953326541432902,0.953418349036344,0.953427287707673,0.952905306546519
"limma|FragPipe|abd||max_pauc005_C.A_HYqfl683_TMT11",0.957798111765273,0.958098674588713,0.957808726437476,0.958098674588713,0.958097557254797,0.95722957502428,0.958097184810158,0.957480416488452,0.958032751887661,0.958023813216332,0.958097929699436,0.956753032109048,0.957811705994586,0.957996252313067,0.95809681236552,0.956898285518146
"limma|FragPipe|abd||max_pauc005_C.B_HYqfl683_TMT11",0.910217564280593,0.910217936725231,0.910213094944928,0.910217936725231,0.91021830916987,0.909930293075196,0.910344754124713,0.910072683316134,0.910194472712992,0.910194472712992,0.91025015318648,0.909187300937652,0.910176967814973,0.910200059382573,0.910273989643358,0.909799867618278
"limma|FragPipe|abd||max_pauc005_A.B_HYms2faims815_TMT16",0.91303075430238,0.91303075430238,0.91303075430238,0.91303075430238,0.91303075430238,0.91303075430238,0.91303075430238,0.91303075430238,0.91303075430238,0.91303075430238,0.91303075430238,0.91303075430238,0.91303075430238,0.91303075430238,0.91303075430238,0.91303075430238
"limma|FragPipe|abd||max_pauc005_B.D_HYms2faims815_TMT16",0.913975831247978,0.913975831247978,0.913975831247978,0.913975831247978,0.913975831247978,0.913975831247978,0.913975831247978,0.913975831247978,0.913975831247978,0.913975831247978,0.913975831247978,0.913975831247978,0.913975831247978,0.913975831247978,0.913975831247978,0.913975831247978
"limma|FragPipe|abd||max_pauc005_C.E_HYms2faims815_TMT16",0.910989057706451,0.911025451555118,0.91100901616723,0.911024608714714,0.911025451555118,0.911049051086445,0.911020815932893,0.910868447244563,0.91104820824604,0.911046943985434,0.911016601730871,0.91054774647064,0.911046943985434,0.911047365405636,0.911021658773298,0.910825040963729
"limma|FragPipe|abd||max_pauc005_B.C_HYsps2815_TMT16",0.902753633176572,0.903368026356685,0.903654825587642,0.90337214703529,0.903430660671491,0.902564906096431,0.90306886508991,0.888025503704027,0.897001989978716,0.898861240165614,0.902740859072895,0.900939298386476,0.888530698901087,0.897269422020227,0.903521315600817,0.886903854987551
"limma|FragPipe|abd||max_pauc005_B.E_HYsps2815_TMT16",0.899773197849541,0.899995250917907,0.900897267464698,0.899941682096033,0.900301005270451,0.899662300086565,0.899866273677548,0.896714778679897,0.899891409817043,0.899814765194977,0.899666420765171,0.897627508991063,0.897634539898934,0.899474397142145,0.900721314488234,0.894971319561819
"limma|FragPipe|abd||max_pauc005_A.C_HYsps2815_TMT16",0.906806320585293,0.90997677070453,0.91260123090851,0.909898477811021,0.910833047718797,0.908948249324544,0.909654945705423,0.870464407690052,0.877354594386667,0.881837892709685,0.912473489871733,0.904099858877059,0.871707616425396,0.8889872700906,0.912773475274229,0.868068645148689
"limma|FragPipe|abd||max_pauc005_A.D_HYms2815_TMT16",0.852881607927686,0.852881607927686,0.852881607927686,0.852881607927686,0.852881607927686,0.852881607927686,0.852881607927686,0.852881607927686,0.852881607927686,0.852881607927686,0.852881607927686,0.852881607927686,0.852881607927686,0.852881607927686,0.852881607927686,0.852881607927686
"limma|FragPipe|abd||max_pauc005_A.E_HYms2815_TMT16",0.855140743120864,0.855140743120864,0.855140743120864,0.855140743120864,0.855140743120864,0.855140743120864,0.855140743120864,0.855140743120864,0.855140743120864,0.855140743120864,0.855140743120864,0.855140743120864,0.855140743120864,0.855140743120864,0.855140743120864,0.855140743120864
"limma|FragPipe|abd||max_pauc005_D.E_HYms2815_TMT16",0.735440078900425,0.735440078900425,0.735440078900425,0.735440078900425,0.735440078900425,0.735440078900425,0.735440078900425,0.735440078900425,0.735440078900425,0.735440078900425,0.735440078900425,0.735440078900425,0.735440078900425,0.735440078900425,0.735440078900425,0.735440078900425
"limma|FragPipe|abd||center.mean_pauc005_B.A_HEqe277_TMT10",0.76641184028774,0.766399727638161,0.766389671853605,0.766399727638161,0.766399042016487,0.76639150017807,0.766347355283868,0.766066981727195,0.766212562062702,0.766213476224935,0.76639744223258,0.764742159536777,0.766305614636337,0.76611200421714,0.766393328502534,0.766334867827773
