"pauc001feature","pauc001sr","pauc001rank","pauc005feature","pauc005sr","pauc005rank","pauc01feature","pauc01sr","pauc01rank","nMCCfeature","nMCCsr","nMCCrank","G-meanfeature","G-meansr","G-meanrank","avg_rank"
"1","DEP",1,1,"DEP",1,1,"DEP",0.833333333333333,2,"DEP",0.166666666666667,6,"DEP",0.166666666666667,6,3.2
"2","limma",0.833333333333333,2,"limma",0.833333333333333,2,"limma",1,1,"limma",0.833333333333333,2,"limma",0.833333333333333,2,1.8
"3","proDA",0.666666666666667,3,"proDA",0.666666666666667,3,"proDA",0.666666666666667,3,"proDA",0.333333333333333,5,"proDA",0.333333333333333,5,3.8
"4","ROTS",0.5,4,"ROTS",0.5,4,"ROTS",0.5,4,"ROTS",0.666666666666667,3,"ROTS",0.666666666666667,3,3.6
"5","SAM",0.333333333333333,5,"SAM",0.333333333333333,5,"SAM",0.333333333333333,5,"SAM",0,7,"SAM",0,7,5.8
"6","ttest",0.166666666666667,6,"ttest",0.166666666666667,6,"ttest",0.166666666666667,6,"ttest",1,1,"ttest",0.5,4,4.6
"7","ANOVA",0,7,"ANOVA",0,7,"ANOVA",0,7,"ANOVA",0.5,4,"ANOVA",1,1,5.2
