"pauc001feature","pauc001sr","pauc001rank","pauc005feature","pauc005sr","pauc005rank","pauc01feature","pauc01sr","pauc01rank","nMCCfeature","nMCCsr","nMCCrank","G-meanfeature","G-meansr","G-meanrank","avg_rank"
"1","abd",1,1,"abd",1,1,"abd",1,1,"abd",1,1,"abd",0.5,2,1.2
"2","phi",0.5,2,"phi",0.5,2,"phi",0.5,2,"phi",0.5,2,"phi",1,1,1.8
"3","ratio",0,3,"ratio",0,3,"ratio",0,3,"ratio",0,3,"ratio",0,3,3
