"protein","contrast","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"37","sp|P17255|VATA_YEAST","conditionC-conditionB",2.60911394929258e-06,1.98159173600498,0.000272617149404462,"YEAST","1","0.321928094887362"
"38","sp|Q00055|GPD1_YEAST","conditionC-conditionB",2.88379158401e-06,2.24779022239756,0.000293387849046912,"YEAST","1","0.321928094887362"
"39","sp|P38707|SYNC_YEAST","conditionC-conditionB",3.08264546440629e-06,1.34965084949355,0.000305577111933198,"YEAST","1","0.321928094887362"
"40","sp|P04801|SYTC_YEAST","conditionC-conditionB",3.25779759158933e-06,2.61995256552046,0.000314866137227109,"YEAST","1","0.321928094887362"
"41","sp|P22137|CLH_YEAST","conditionC-conditionB",3.48122701697758e-06,1.61705850650871,0.000328254235308178,"YEAST","1","0.321928094887362"
"42","sp|P0CX51|RS16A_YEAST","conditionC-conditionB",3.57368019860704e-06,1.35030299492979,0.000328727655758278,"YEAST","1","0.321928094887362"
"43","sp|P28241|IDH2_YEAST","conditionC-conditionB",3.7055250648524e-06,2.04273053463301,0.000328727655758278,"YEAST","1","0.321928094887362"
"44","sp|P17709|HXKG_YEAST","conditionC-conditionB",3.81707537185218e-06,1.44965663333524,0.000328727655758278,"YEAST","1","0.321928094887362"
"45","sp|P38075|PDX3_YEAST","conditionC-conditionB",3.83286660944923e-06,1.46149702218457,0.000328727655758278,"YEAST","1","0.321928094887362"
"46","sp|P07259|PYR1_YEAST","conditionC-conditionB",4.0344128909648e-06,2.63507676393937,0.000328727655758278,"YEAST","1","0.321928094887362"
"47","sp|P04147|PABP_YEAST","conditionC-conditionB",4.10879981933551e-06,1.5133997165934,0.000328727655758278,"YEAST","1","0.321928094887362"
"48","sp|P23254|TKT1_YEAST","conditionC-conditionB",4.12758335939783e-06,1.63174185379946,0.000328727655758278,"YEAST","1","0.321928094887362"
"49","sp|P33302|PDR5_YEAST","conditionC-conditionB",4.16649123956431e-06,2.33780488577114,0.000328727655758278,"YEAST","1","0.321928094887362"
"50","sp|P36010|NDK_YEAST","conditionC-conditionB",4.68308126740263e-06,1.41272478061144,0.000343589649836903,"YEAST","1","0.321928094887362"
"51","sp|P26321|RL5_YEAST","conditionC-conditionB",4.78030474511871e-06,0.980264490774515,0.000343589649836903,"YEAST","1","0.321928094887362"
"52","sp|P34167|IF4B_YEAST","conditionC-conditionB",4.82716051196552e-06,1.62227410858536,0.000343589649836903,"YEAST","1","0.321928094887362"
"53","sp|P31539|HS104_YEAST","conditionC-conditionB",4.9112360736808e-06,1.85892027866098,0.000343589649836903,"YEAST","1","0.321928094887362"
"54","sp|P05319|RLA2_YEAST","conditionC-conditionB",4.93020416687964e-06,1.55187348201041,0.000343589649836903,"YEAST","1","0.321928094887362"
"55","sp|Q08224|THI20_YEAST","conditionC-conditionB",4.96682385073869e-06,0.990437802050135,0.000343589649836903,"YEAST","1","0.321928094887362"
"56","sp|P02400|RLA4_YEAST","conditionC-conditionB",4.97698406385581e-06,0.851907218418128,0.000343589649836903,"YEAST","1","0.321928094887362"
"57","sp|P04806|HXKA_YEAST","conditionC-conditionB",5.54911562689199e-06,0.923017421882676,0.000376366333571306,"YEAST","1","0.321928094887362"
"58","sp|P0CX35|RS4A_YEAST","conditionC-conditionB",6.77777635393729e-06,1.06777973408846,0.00045177385145382,"YEAST","1","0.321928094887362"
"59","sp|P05750|RS3_YEAST","conditionC-conditionB",8.12785348763907e-06,0.851797110666948,0.00050053185301623,"YEAST","1","0.321928094887362"
"60","sp|P04807|HXKB_YEAST","conditionC-conditionB",8.20525806377226e-06,2.04396714916343,0.00050053185301623,"YEAST","1","0.321928094887362"
"61","sp|P00330|ADH1_YEAST","conditionC-conditionB",8.21077048489761e-06,0.956065294417756,0.00050053185301623,"YEAST","1","0.321928094887362"
"62","sp|P00445|SODC_YEAST","conditionC-conditionB",8.23147361281949e-06,1.64252270715797,0.00050053185301623,"YEAST","1","0.321928094887362"
"63","sp|P38011|GBLP_YEAST","conditionC-conditionB",8.31150786427329e-06,1.57543186704302,0.00050053185301623,"YEAST","1","0.321928094887362"
"64","sp|P00950|PMG1_YEAST","conditionC-conditionB",8.65055060383074e-06,0.898152827910876,0.00050053185301623,"YEAST","1","0.321928094887362"
"65","sp|P40212|RL13B_YEAST","conditionC-conditionB",9.04195634089515e-06,1.08529437995373,0.00050053185301623,"YEAST","1","0.321928094887362"
"66","sp|P12709|G6PI_YEAST","conditionC-conditionB",9.04493745921592e-06,1.33583366919938,0.00050053185301623,"YEAST","1","0.321928094887362"
"67","sp|P32263|P5CR_YEAST","conditionC-conditionB",9.14902008940736e-06,0.610155432150183,0.00050053185301623,"YEAST","1","0.321928094887362"
"68","sp|P15705|STI1_YEAST","conditionC-conditionB",9.21667432639726e-06,1.74694678846097,0.00050053185301623,"YEAST","1","0.321928094887362"
"69","sp|P27616|PUR7_YEAST","conditionC-conditionB",9.2927565491993e-06,2.39510801104537,0.00050053185301623,"YEAST","1","0.321928094887362"
"70","sp|P39954|SAHH_YEAST","conditionC-conditionB",9.35771100142842e-06,1.91923292096025,0.00050053185301623,"YEAST","1","0.321928094887362"
"71","sp|Q9BUP3|HTAI2_HUMAN","conditionC-conditionB",9.39830431464011e-06,-1.19531665643942,0.00050053185301623,"HUMAN","0","0"
