"protein","contrast","chisq","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"37","sp|Q06151|DCPS_YEAST","conditionC-conditionB",33.1248367590391,3.03118846578521e-07,0.4958589301744,5.33044425797866e-05,"YEAST","1","0.321928094887362"
"38","sp|P01123|YPT1_YEAST","conditionC-conditionB",33.0379909539963,3.16178908055242e-07,0.450381411937267,5.33044425797866e-05,"YEAST","1","0.321928094887362"
"39","sp|Q00764|TPS1_YEAST","conditionC-conditionB",33.0092500748361,3.20623561367306e-07,0.450592393439102,5.33044425797866e-05,"YEAST","1","0.321928094887362"
"40","sp|P54115|ALDH6_YEAST","conditionC-conditionB",32.9560577067248,3.29014719580023e-07,0.402343034539735,5.33044425797866e-05,"YEAST","1","0.321928094887362"
"41","sp|P38088|SYG_YEAST","conditionC-conditionB",32.8739811726383,3.42394502528265e-07,0.370206427237132,5.33044425797866e-05,"YEAST","1","0.321928094887362"
"42","sp|P00817|IPYR_YEAST","conditionC-conditionB",32.8206058680869,3.513856093873e-07,0.332910938821406,5.33044425797866e-05,"YEAST","1","0.321928094887362"
"43","sp|Q12074|SPEE_YEAST","conditionC-conditionB",32.7829935464041,3.57862621980232e-07,0.374267813107567,5.33044425797866e-05,"YEAST","1","0.321928094887362"
"44","sp|P48606|TBCA_YEAST","conditionC-conditionB",32.7481363768293,3.63971537908903e-07,0.441751471213632,5.33044425797866e-05,"YEAST","1","0.321928094887362"
"45","sp|P19882|HSP60_YEAST","conditionC-conditionB",32.6483295419474,3.82045097002681e-07,0.466770747830736,5.33044425797866e-05,"YEAST","1","0.321928094887362"
"46","sp|P00360|G3P1_YEAST","conditionC-conditionB",32.6337730734531,3.84754881954663e-07,0.365648973403934,5.33044425797866e-05,"YEAST","1","0.321928094887362"
"47","sp|P07284|SYSC_YEAST","conditionC-conditionB",32.6148228981592,3.88311351628978e-07,0.421041282706033,5.33044425797866e-05,"YEAST","1","0.321928094887362"
"48","sp|P0CX41|RL23A_YEAST","conditionC-conditionB",32.5761479822227,3.95671808761655e-07,0.353128487068467,5.33044425797866e-05,"YEAST","1","0.321928094887362"
"49","sp|P05756|RS13_YEAST","conditionC-conditionB",32.5372502107823,4.03215154265446e-07,0.399102078924168,5.33044425797866e-05,"YEAST","1","0.321928094887362"
"50","sp|P07267|CARP_YEAST","conditionC-conditionB",32.5308133321399,4.04477212168075e-07,0.356049148572037,5.33044425797866e-05,"YEAST","1","0.321928094887362"
"51","sp|P20051|PYRC_YEAST","conditionC-conditionB",32.51735463452,4.07128771251486e-07,0.404199648804171,5.33044425797866e-05,"YEAST","1","0.321928094887362"
"52","sp|P33302|PDR5_YEAST","conditionC-conditionB",32.5042968416863,4.09717928695486e-07,0.366243654908965,5.33044425797866e-05,"YEAST","1","0.321928094887362"
"53","sp|P38910|CH10_YEAST","conditionC-conditionB",32.4765326906613,4.15277885745802e-07,0.426428086981598,5.33044425797866e-05,"YEAST","1","0.321928094887362"
"54","sp|P31373|CYS3_YEAST","conditionC-conditionB",32.2732538798887,4.58346687937095e-07,0.49481074133727,5.5346453475873e-05,"YEAST","1","0.321928094887362"
"55","sp|P0CX82|RL19A_YEAST;sp|P0CX83|RL19B_YEAST","conditionC-conditionB",32.2623391000862,4.60781397815246e-07,0.381513337170434,5.5346453475873e-05,"YEAST","1","0.321928094887362"
"56","sp|P05755|RS9B_YEAST","conditionC-conditionB",32.2039875141809,4.74018293505907e-07,0.433745082950335,5.5346453475873e-05,"YEAST","1","0.321928094887362"
"57","sp|P00924|ENO1_YEAST","conditionC-conditionB",32.2004441855387,4.74834203290087e-07,0.325690731404173,5.5346453475873e-05,"YEAST","1","0.321928094887362"
"58","sp|P21264|PUR6_YEAST","conditionC-conditionB",32.180374262819,4.79482161086509e-07,0.422039651921168,5.5346453475873e-05,"YEAST","1","0.321928094887362"
"59","sp|P07259|PYR1_YEAST","conditionC-conditionB",32.1781497874966,4.80000110991696e-07,0.500935033234866,5.5346453475873e-05,"YEAST","1","0.321928094887362"
"60","sp|P36421|SYYC_YEAST","conditionC-conditionB",32.0860961154657,5.01930935481454e-07,0.310044664065368,5.6088448181407e-05,"YEAST","1","0.321928094887362"
"61","sp|P10591|HSP71_YEAST","conditionC-conditionB",32.0820213378024,5.02924494938384e-07,0.325875270441299,5.6088448181407e-05,"YEAST","1","0.321928094887362"
"62","sp|P47176|BCA2_YEAST","conditionC-conditionB",31.9662008240608,5.32001091069212e-07,0.395111791877502,5.70874317709561e-05,"YEAST","1","0.321928094887362"
"63","sp|Q02630|NU116_YEAST","conditionC-conditionB",31.8814529673288,5.5433453793885e-07,0.975221865956012,5.70874317709561e-05,"YEAST","1","0.321928094887362"
"64","sp|P40185|MMF1_YEAST","conditionC-conditionB",31.8755301438206,5.5592990788611e-07,0.324449427797003,5.70874317709561e-05,"YEAST","1","0.321928094887362"
"65","sp|P32324|EF2_YEAST","conditionC-conditionB",31.8625515270162,5.59441866498922e-07,0.293208681267057,5.70874317709561e-05,"YEAST","1","0.321928094887362"
"66","sp|P32481|IF2G_YEAST","conditionC-conditionB",31.861790621756,5.59648450138006e-07,0.40997868497027,5.70874317709561e-05,"YEAST","1","0.321928094887362"
"67","sp|P0CX49|RL18A_YEAST","conditionC-conditionB",31.8523017195628,5.62231064038521e-07,0.334311096664567,5.70874317709561e-05,"YEAST","1","0.321928094887362"
"68","sp|P29453|RL8B_YEAST","conditionC-conditionB",31.7420481984134,5.93125442871489e-07,0.305815784051131,5.89108491451482e-05,"YEAST","1","0.321928094887362"
"69","sp|P41338|ERG10_YEAST","conditionC-conditionB",31.6923425335856,6.07602234969917e-07,0.452983139756833,5.89108491451482e-05,"YEAST","1","0.321928094887362"
"70","sp|P38777|FSH1_YEAST","conditionC-conditionB",31.6732437532247,6.13258084647406e-07,0.451851055592858,5.89108491451482e-05,"YEAST","1","0.321928094887362"
"71","sp|P00549|KPYK1_YEAST","conditionC-conditionB",31.6679758656435,6.14827324607603e-07,0.322417136095794,5.89108491451482e-05,"YEAST","1","0.321928094887362"
"72","sp|P0C2H9|RL31B_YEAST","conditionC-conditionB",31.589920741273,6.38554213394649e-07,0.312873441067499,6.03345043572749e-05,"YEAST","1","0.321928094887362"
"73","sp|Q02326|RL6A_YEAST","conditionC-conditionB",31.5314860668149,6.56913204721832e-07,0.351632620826955,6.04308156120877e-05,"YEAST","1","0.321928094887362"
"74","sp|P0CS90|HSP77_YEAST","conditionC-conditionB",31.5106882924872,6.63573787695881e-07,0.402697331989433,6.04308156120877e-05,"YEAST","1","0.321928094887362"
"75","sp|P10664|RL4A_YEAST","conditionC-conditionB",31.5024757205393,6.6622242700376e-07,0.331189150936812,6.04308156120877e-05,"YEAST","1","0.321928094887362"
"76","sp|P29509|TRXB1_YEAST","conditionC-conditionB",31.4440716633091,6.85365159625029e-07,0.418674962490766,6.05599864266818e-05,"YEAST","1","0.321928094887362"
"77","sp|P15731|UBC4_YEAST","conditionC-conditionB",31.4438153062359,6.85450382897912e-07,0.506918609030034,6.05599864266818e-05,"YEAST","1","0.321928094887362"
"78","sp|P38791|DHYS_YEAST","conditionC-conditionB",31.3260621134894,7.25735925355409e-07,0.425638010312932,6.25228767040703e-05,"YEAST","1","0.321928094887362"
"79","sp|P40075|SCS2_YEAST","conditionC-conditionB",31.3251744970166,7.26048399180002e-07,0.401796524582805,6.25228767040703e-05,"YEAST","1","0.321928094887362"
"80","sp|P0CX84|RL35A_YEAST","conditionC-conditionB",31.2874280147622,7.39461571863664e-07,0.396224926195165,6.28819634173563e-05,"YEAST","1","0.321928094887362"
"81","sp|Q12449|AHA1_YEAST","conditionC-conditionB",31.2576585048982,7.50214348310685e-07,0.640195851066032,6.30087433525628e-05,"YEAST","1","0.321928094887362"
"82","sp|P00330|ADH1_YEAST","conditionC-conditionB",31.0997191055532,8.09927323208726e-07,0.316668847275768,6.64812000092768e-05,"YEAST","1","0.321928094887362"
"83","sp|P41940|MPG1_YEAST","conditionC-conditionB",31.0875667669794,8.14713707719683e-07,0.358764163972634,6.64812000092768e-05,"YEAST","1","0.321928094887362"
"84","sp|P25349|YCP4_YEAST","conditionC-conditionB",31.0720250756045,8.20876201790277e-07,0.351827446676102,6.64812000092768e-05,"YEAST","1","0.321928094887362"
"85","sp|P02407|RS17A_YEAST;sp|P14127|RS17B_YEAST","conditionC-conditionB",31.0173577214028,8.42924513744236e-07,0.392173037088337,6.74637113764946e-05,"YEAST","1","0.321928094887362"
"86","sp|P0CX31|RS24A_YEAST;sp|P0CX32|RS24B_YEAST","conditionC-conditionB",30.964721255563,8.64712036419135e-07,0.31350198890407,6.84027439972021e-05,"YEAST","1","0.321928094887362"
"87","sp|P05317|RLA0_YEAST","conditionC-conditionB",30.919804982667,8.83747842794769e-07,0.420926302518765,6.85439892478779e-05,"YEAST","1","0.321928094887362"
"88","sp|P38555|YPT31_YEAST","conditionC-conditionB",30.8967434773813,8.9368336897433e-07,0.535932446437497,6.85439892478779e-05,"YEAST","1","0.321928094887362"
"89","sp|P0C2H6|RL27A_YEAST","conditionC-conditionB",30.8897363724335,8.96724245635916e-07,0.49041357588677,6.85439892478779e-05,"YEAST","1","0.321928094887362"
"90","sp|P32861|UGPA1_YEAST","conditionC-conditionB",30.8050496970033,9.34302655797303e-07,0.315622478539218,7.06228996376562e-05,"YEAST","1","0.321928094887362"
"91","sp|P09436|SYIC_YEAST","conditionC-conditionB",30.7548505746097,9.57315460126118e-07,0.358700629601316,7.15672206070108e-05,"YEAST","1","0.321928094887362"
"92","sp|P39976|DLD3_YEAST","conditionC-conditionB",30.6252426359302,1.01938127416989e-06,0.472356248243202,7.53788131323673e-05,"YEAST","1","0.321928094887362"
"93","sp|P10081|IF4A_YEAST","conditionC-conditionB",30.5110426879397,1.07738791710332e-06,0.327624801841267,7.88115053769237e-05,"YEAST","1","0.321928094887362"
"94","sp|P49089|ASNS1_YEAST","conditionC-conditionB",30.357186903494,1.16077909417811e-06,0.317855268264797,8.31997270507686e-05,"YEAST","1","0.321928094887362"
"95","sp|Q03048|COFI_YEAST","conditionC-conditionB",30.3553075664847,1.16183655296531e-06,0.338892905693633,8.31997270507686e-05,"YEAST","1","0.321928094887362"
"96","sp|P02309|H4_YEAST","conditionC-conditionB",30.3175927677914,1.18326219222809e-06,0.387316824105136,8.38513822263298e-05,"YEAST","1","0.321928094887362"
"97","sp|P53622|COPA_YEAST","conditionC-conditionB",30.2788355050314,1.20569090822364e-06,0.670439656490732,8.45599510169634e-05,"YEAST","1","0.321928094887362"
"98","sp|P40089|LSM5_YEAST","conditionC-conditionB",30.2457689433586,1.22516150524721e-06,0.623621330156267,8.48360843600193e-05,"YEAST","1","0.321928094887362"
"99","sp|P38701|RS20_YEAST","conditionC-conditionB",30.2212248281744,1.23981643518345e-06,0.317384136091933,8.48360843600193e-05,"YEAST","1","0.321928094887362"
"100","sp|Q04947|RTN1_YEAST","conditionC-conditionB",30.209234245599,1.24703931148051e-06,0.356651140905667,8.48360843600193e-05,"YEAST","1","0.321928094887362"
"101","sp|P28834|IDH1_YEAST","conditionC-conditionB",30.1572860534685,1.27881999978374e-06,0.363466216398605,8.54115938431907e-05,"YEAST","1","0.321928094887362"
"102","sp|P35997|RS27A_YEAST","conditionC-conditionB",30.1544003183616,1.28060893311854e-06,0.356934647447632,8.54115938431907e-05,"YEAST","1","0.321928094887362"
"103","sp|P41807|VATH_YEAST","conditionC-conditionB",30.1074204503102,1.31008660897436e-06,0.347060872078369,8.65293126296365e-05,"YEAST","1","0.321928094887362"
"104","sp|P50086|PSD10_YEAST","conditionC-conditionB",30.083254672186,1.32551225651145e-06,0.711668160200466,8.67063450100712e-05,"YEAST","1","0.321928094887362"
"105","sp|P23248|RS3A2_YEAST","conditionC-conditionB",30.0602484430116,1.3403661129896e-06,0.354277415434566,8.67950200657615e-05,"YEAST","1","0.321928094887362"
"106","sp|P39007|STT3_YEAST","conditionC-conditionB",30.0418192613564,1.35238455489795e-06,0.610845941069492,8.67950200657615e-05,"YEAST","1","0.321928094887362"
"107","sp|P39683|NPT1_YEAST","conditionC-conditionB",30.0168344152039,1.36885012247401e-06,0.740670360357196,8.70307232073895e-05,"YEAST","1","0.321928094887362"
"108","sp|P17505|MDHM_YEAST","conditionC-conditionB",29.9942758425871,1.38388850590143e-06,0.324331921759436,8.71721620893281e-05,"YEAST","1","0.321928094887362"
"109","sp|P38788|SSZ1_YEAST","conditionC-conditionB",29.733163330832,1.57042885373659e-06,0.384967535754331,9.80149311189913e-05,"YEAST","1","0.321928094887362"
