iter	MultiClass
0	1.074877057
1	0.9383310363
2	0.8313098161
3	0.7413739514
4	0.6625548085
5	0.6091675342
6	0.5701309915
7	0.5455641232
8	0.5210422582
9	0.5011388749
10	0.4784259803
11	0.4559571775
12	0.4494705521
13	0.436576155
14	0.424919745
15	0.4193431582
16	0.4136857728
17	0.4073166293
18	0.3991268319
19	0.3926889583
20	0.3817853652
21	0.3792968608
22	0.3739598118
23	0.3691482079
24	0.3652031809
25	0.36028643
26	0.3558231429
27	0.3514851116
28	0.3498505088
29	0.3458689733
30	0.3411497044
31	0.3379405411
32	0.3314301867
33	0.3274870766
34	0.3253638416
35	0.3227875432
36	0.3213807172
37	0.3188680277
38	0.3174238551
39	0.3118458316
40	0.309348661
41	0.304104187
42	0.2987782207
43	0.2982921621
44	0.2968387441
45	0.2948074734
46	0.2920710428
47	0.2893299418
48	0.2863470673
49	0.2833569439
50	0.2813030866
51	0.2781664668
52	0.2770084186
53	0.2764352738
54	0.274664062
55	0.2732458041
56	0.2709257851
57	0.2691636827
58	0.2682183751
59	0.2670605626
60	0.2645656256
61	0.2631739202
62	0.2621442472
63	0.2611425816
64	0.2592261981
65	0.2569773422
66	0.2557855288
67	0.2541901332
68	0.2518004076
69	0.250958164
70	0.2492243042
71	0.2483346407
72	0.2472015355
73	0.2445999432
74	0.242874124
75	0.2409799238
76	0.2384653039
77	0.2376858004
78	0.2363608543
79	0.234156836
80	0.2336309197
81	0.2309726975
82	0.2293466165
83	0.227975635
84	0.227181454
85	0.2258865797
86	0.2233776106
87	0.2223040187
88	0.2212477812
89	0.2191389224
90	0.2167806998
91	0.2149628699
92	0.2124538815
93	0.2114770212
94	0.2090706264
95	0.2079896884
96	0.2068964535
97	0.2054704104
98	0.2048750331
99	0.2043715754
100	0.2021410252
101	0.2007664044
102	0.2001011899
103	0.1990256103
104	0.1982535915
105	0.1977088014
106	0.1961516073
107	0.1948879869
108	0.1941845028
109	0.1930095015
110	0.1920556885
111	0.1914717224
112	0.1900744852
113	0.1885453681
114	0.1874757431
115	0.185740471
116	0.1847657237
117	0.1843169721
118	0.1833313704
119	0.1817316051
120	0.1804161429
121	0.1793726692
122	0.1785176878
123	0.1773963192
124	0.1763802188
125	0.1749431977
126	0.1738715072
127	0.172932792
128	0.171652157
129	0.1714367055
130	0.1694736543
131	0.1680763557
132	0.1671481532
133	0.166397408
134	0.1652204531
135	0.1643265109
136	0.163515347
137	0.1627634887
138	0.1615618488
139	0.1608546075
140	0.1599089003
141	0.1587832339
142	0.1581508258
143	0.1565380126
144	0.1554757604
145	0.155166627
146	0.1550476011
147	0.1540936289
148	0.1536151866
149	0.1525084959
150	0.1520683345
151	0.1514344144
152	0.1511047958
153	0.1506521612
154	0.1498308313
155	0.1489291173
156	0.1480394862
157	0.1478467026
158	0.1472261083
159	0.1465288702
160	0.1458483942
161	0.1452272058
162	0.1448281565
163	0.1444558507
164	0.143474544
165	0.1428105111
166	0.1416369409
167	0.1414118775
168	0.1407097387
169	0.1403032648
170	0.1395352515
171	0.138959363
172	0.138160611
173	0.1376387799
174	0.1372011509
175	0.1363453789
176	0.1350970293
177	0.1345971983
178	0.1341556454
179	0.1337373825
180	0.1326107288
181	0.1323613349
182	0.1314291665
183	0.13075461
184	0.129996027
185	0.1293586173
186	0.1288458166
187	0.1284372283
188	0.1281987055
189	0.1275005131
190	0.1272961581
191	0.1261792917
192	0.1252746653
193	0.1247196057
194	0.1244383537
195	0.124042175
196	0.1235954956
197	0.122934822
198	0.1218530601
199	0.1208996858
200	0.1200973308
201	0.119696025
202	0.1191126756
203	0.1187765102
204	0.1181597629
